STAID,NWALT82_DEV_SUM,NWALT82_SEMIDEV_SUM,NWALT82_AG4344_SUM,NWALT82_AG4346_SUM,NWALT82_11,NWALT82_12,NWALT82_21,NWALT82_22,NWALT82_23,NWALT82_24,NWALT82_25,NWALT82_26,NWALT82_27,NWALT82_31,NWALT82_32,NWALT82_33,NWALT82_41,NWALT82_43,NWALT82_44,NWALT82_45,NWALT82_46,NWALT82_50,NWALT82_60
01011000,0.00,0.00,0.00,0.00,3.94,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.94,0.33
01013500,0.31,0.01,5.58,5.62,6.26,1.86,0.08,0.03,0.01,0.00,0.00,0.00,0.20,0.00,0.00,0.01,0.01,4.46,1.11,0.01,0.04,84.94,0.99
01015800,0.06,0.00,0.15,0.15,2.16,1.85,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.12,0.03,0.00,0.00,94.96,0.82
01016500,0.00,0.00,0.13,0.13,0.96,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.01,0.00,0.00,97.31,0.00
01017000,0.17,0.00,1.84,1.86,1.98,1.72,0.06,0.01,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.01,1.36,0.48,0.01,0.02,93.75,0.51
01017060,1.92,0.00,53.64,54.34,0.34,0.90,0.73,0.75,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,47.38,6.26,0.05,0.65,42.50,0.00
01017290,1.71,0.42,10.92,11.01,1.24,3.02,0.25,0.04,1.16,0.07,0.00,0.00,0.19,0.00,0.40,0.02,0.02,8.30,2.62,0.00,0.09,82.44,0.12
01017550,2.30,0.29,66.88,67.21,0.00,0.90,0.14,0.68,0.00,0.00,0.00,0.36,1.11,0.00,0.29,0.00,0.00,65.52,1.36,0.00,0.32,29.31,0.00
01017960,2.15,0.00,13.56,14.07,3.10,1.75,1.60,0.06,0.05,0.02,0.00,0.00,0.42,0.00,0.00,0.00,0.02,11.20,2.36,0.13,0.38,78.91,0.00
01018000,1.77,0.10,12.33,12.79,1.71,2.91,1.27,0.04,0.03,0.01,0.00,0.01,0.41,0.00,0.10,0.00,0.02,10.17,2.15,0.09,0.37,80.70,0.00
01018009,3.28,22.62,26.74,27.13,0.00,2.57,0.09,0.37,0.00,0.00,0.26,1.81,0.76,0.02,22.61,0.00,0.00,20.32,6.42,0.06,0.33,44.40,0.00
01019000,0.03,0.00,0.09,0.09,23.34,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,74.59,0.00
01021200,0.42,0.00,2.87,3.04,12.70,9.68,0.20,0.06,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,2.02,0.85,0.00,0.17,71.51,2.65
01021470,0.13,0.00,39.58,39.58,0.13,6.35,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.24,4.34,0.00,0.00,53.81,0.00
01021480,0.43,0.00,0.49,0.49,3.23,3.94,0.23,0.02,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.15,0.34,0.00,0.00,91.92,0.00
01021500,0.27,0.00,2.56,2.56,4.83,4.90,0.12,0.01,0.11,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,2.22,0.34,0.00,0.00,86.29,1.15
01022260,0.17,0.00,12.71,12.71,3.08,14.27,0.12,0.00,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,11.67,1.04,0.00,0.00,65.21,4.56
01022330,0.51,0.04,1.05,1.05,3.22,5.68,0.15,0.02,0.24,0.00,0.00,0.00,0.09,0.00,0.00,0.04,0.03,0.89,0.15,0.00,0.00,89.47,0.00
01022500,0.31,0.02,3.72,3.72,2.01,5.72,0.08,0.03,0.11,0.00,0.00,0.00,0.10,0.00,0.00,0.02,0.02,3.31,0.41,0.00,0.00,81.72,6.48
01023000,0.19,0.02,0.80,0.80,3.76,7.98,0.05,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.70,0.10,0.00,0.00,87.25,0.00
01027200,0.03,0.00,0.00,0.00,0.89,2.38,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,96.25,0.02
01029200,0.01,0.00,0.01,0.01,5.44,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,91.75,0.00
01029500,0.02,0.00,0.10,0.10,5.35,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.06,0.00,0.00,92.35,0.33
01030000,0.20,0.09,0.14,0.14,6.55,2.14,0.08,0.02,0.02,0.00,0.02,0.03,0.04,0.00,0.09,0.00,0.02,0.06,0.07,0.00,0.00,87.41,2.82
01030500,0.72,0.00,2.61,2.68,2.69,3.89,0.52,0.02,0.01,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,1.60,1.01,0.01,0.06,89.74,0.28
01031300,0.15,0.00,0.17,0.17,2.15,2.36,0.08,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.07,0.10,0.00,0.00,95.17,0.00
01031450,0.29,0.00,0.54,0.56,2.74,1.46,0.18,0.01,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.28,0.26,0.02,0.00,94.95,0.00
01031500,0.74,0.43,1.30,1.40,2.16,1.96,0.35,0.03,0.06,0.01,0.00,0.07,0.22,0.00,0.43,0.00,0.00,0.75,0.55,0.05,0.05,93.30,0.00
01031510,1.52,0.04,4.12,4.59,2.21,5.80,1.08,0.04,0.06,0.00,0.00,0.00,0.34,0.00,0.00,0.04,0.23,2.10,2.02,0.35,0.12,85.60,0.00
01033000,0.25,0.35,0.23,0.25,7.47,1.44,0.10,0.01,0.01,0.00,0.00,0.01,0.13,0.00,0.29,0.06,0.01,0.11,0.12,0.01,0.01,90.23,0.00
01033500,0.19,0.00,0.17,0.17,1.93,1.59,0.01,0.01,0.03,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.02,0.13,0.03,0.00,0.00,96.07,0.01
01034000,0.67,1.13,1.54,1.64,3.43,2.16,0.26,0.04,0.04,0.01,0.00,0.13,0.19,0.00,1.12,0.02,0.02,0.88,0.65,0.06,0.05,90.94,0.00
01034500,0.50,0.37,1.03,1.07,5.14,2.66,0.26,0.03,0.02,0.00,0.01,0.05,0.12,0.00,0.37,0.00,0.02,0.59,0.44,0.01,0.02,88.45,1.48
01035000,0.13,0.00,0.36,0.36,7.68,7.43,0.03,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.12,0.24,0.00,0.00,84.36,0.05
01036500,2.02,0.03,16.57,17.09,0.31,3.33,0.42,0.13,0.01,0.01,0.00,0.00,1.44,0.00,0.00,0.03,0.08,8.43,8.14,0.23,0.29,77.14,0.00
01037380,1.01,0.00,7.29,7.37,3.70,2.29,0.09,0.01,0.00,0.01,0.00,0.00,0.90,0.00,0.00,0.00,0.00,3.32,3.97,0.05,0.04,85.63,0.00
01038000,1.59,0.00,7.27,7.67,3.55,2.21,0.37,0.10,0.02,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.11,2.50,4.77,0.30,0.10,84.89,0.00
01041000,0.25,0.17,0.03,0.04,12.99,2.18,0.12,0.02,0.01,0.00,0.00,0.04,0.06,0.00,0.17,0.00,0.03,0.01,0.02,0.00,0.01,83.25,0.93
01042500,0.22,0.14,0.03,0.04,11.25,2.19,0.11,0.02,0.01,0.00,0.00,0.03,0.05,0.00,0.13,0.00,0.02,0.01,0.02,0.00,0.01,85.27,0.74
01043500,0.39,0.00,0.06,0.06,5.12,0.76,0.25,0.03,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.01,0.03,0.03,0.00,0.00,83.89,9.70
01044550,0.04,0.00,0.00,0.00,2.71,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.35,1.99
01045000,0.25,0.00,0.04,0.04,4.03,1.15,0.16,0.02,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.00,88.25,6.22
01046000,0.36,0.04,0.65,0.66,1.83,0.59,0.09,0.01,0.06,0.00,0.00,0.01,0.19,0.00,0.04,0.00,0.00,0.19,0.45,0.01,0.00,96.52,0.00
01046500,0.27,0.09,0.06,0.06,8.34,1.68,0.15,0.02,0.01,0.00,0.00,0.02,0.07,0.00,0.09,0.00,0.02,0.02,0.04,0.00,0.00,87.04,2.42
01047000,0.88,0.01,1.37,1.44,0.83,1.26,0.48,0.07,0.02,0.00,0.00,0.00,0.31,0.00,0.00,0.01,0.00,0.28,1.09,0.02,0.05,93.58,2.00
01047150,0.44,0.17,0.47,0.50,7.28,1.63,0.21,0.03,0.01,0.00,0.00,0.05,0.13,0.00,0.17,0.00,0.02,0.21,0.26,0.01,0.01,87.66,2.24
01047200,0.66,0.00,0.00,0.00,1.00,0.16,0.62,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.17,0.00
01048000,1.54,0.93,4.55,4.72,1.25,1.45,0.44,0.18,0.01,0.04,0.00,0.26,0.61,0.00,0.93,0.00,0.01,1.41,3.14,0.11,0.05,90.09,0.02
01048220,0.49,0.00,2.16,2.19,1.39,1.23,0.15,0.01,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,1.49,0.67,0.03,0.00,94.70,0.00
01049000,2.27,1.87,8.43,8.94,4.29,3.83,0.73,0.19,0.06,0.04,0.00,0.47,0.78,0.00,1.85,0.02,0.00,4.19,4.24,0.32,0.19,78.80,0.00
01049265,1.30,1.53,3.78,3.97,6.04,2.08,0.40,0.14,0.04,0.02,0.03,0.25,0.41,0.00,1.52,0.01,0.03,1.57,2.21,0.14,0.05,83.68,1.37
01049500,4.53,11.28,10.30,10.97,10.75,1.18,1.09,0.33,0.05,0.05,0.00,0.98,2.03,0.00,11.27,0.01,0.02,1.62,8.68,0.62,0.05,61.26,0.00
01052500,0.02,0.00,0.00,0.00,0.30,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.93,0.00
01053500,0.24,0.00,0.04,0.05,7.76,1.23,0.10,0.02,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,90.55,0.14
01053600,0.27,0.00,0.06,0.07,7.03,1.20,0.14,0.02,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,91.27,0.12
01054000,0.54,0.28,0.18,0.18,6.24,1.21,0.18,0.06,0.03,0.01,0.06,0.06,0.14,0.01,0.27,0.01,0.01,0.14,0.04,0.00,0.00,91.02,0.49
