STAID,NLCD11_DEV_SUM,NLCD11_AG_SUM,NLCD11_11,NLCD11_12,NLCD11_21,NLCD11_22,NLCD11_23,NLCD11_24,NLCD11_31,NLCD11_41,NLCD11_42,NLCD11_43,NLCD11_52,NLCD11_71,NLCD11_81,NLCD11_82,NLCD11_90,NLCD11_95
01011000,0.05,0.00,3.95,0.00,0.05,0.00,0.00,0.00,0.64,17.23,27.35,33.06,10.01,1.10,0.00,0.00,6.00,0.61
01013500,1.11,5.03,6.25,0.00,0.68,0.34,0.09,0.01,0.66,16.34,16.99,34.49,6.91,1.86,0.98,4.05,9.76,0.58
01015800,0.27,0.10,2.17,0.00,0.22,0.05,0.00,0.00,0.50,10.31,24.26,35.81,10.51,1.39,0.02,0.08,14.14,0.55
01016500,0.03,0.12,0.97,0.00,0.02,0.01,0.00,0.00,0.67,16.08,18.71,44.55,8.84,1.40,0.02,0.10,8.15,0.47
01017000,0.54,1.68,1.99,0.00,0.37,0.14,0.03,0.01,0.51,11.94,23.04,36.83,9.36,1.32,0.45,1.23,12.32,0.48
01017060,4.93,50.74,0.35,0.00,2.37,2.25,0.31,0.00,0.16,16.08,3.42,12.98,3.81,0.73,4.80,45.95,6.18,0.64
01017290,3.13,10.18,1.23,0.00,1.55,0.84,0.42,0.31,0.44,18.78,18.63,23.76,8.52,1.77,2.51,7.68,13.22,0.35
01017550,7.79,60.60,0.00,0.00,4.03,3.46,0.30,0.00,0.04,1.23,1.79,4.55,1.92,0.96,1.09,59.50,21.00,0.12
01017960,4.99,11.78,3.12,0.00,3.56,1.18,0.22,0.04,0.38,16.65,8.91,35.13,4.39,1.04,1.74,10.04,13.13,0.49
01018000,4.21,10.66,1.72,0.00,3.09,0.92,0.17,0.03,0.21,12.16,10.90,35.64,4.73,0.82,1.61,9.05,18.43,0.51
01018009,6.63,23.53,0.00,0.00,4.15,1.89,0.56,0.02,0.05,3.11,8.29,34.86,5.55,0.59,6.02,17.51,17.27,0.12
01019000,0.30,0.09,23.33,0.00,0.27,0.03,0.00,0.00,0.02,11.34,22.57,29.92,3.80,0.66,0.08,0.01,6.95,1.03
