STAID,NWALT02_DEV_SUM,NWALT02_SEMIDEV_SUM,NWALT02_AG4344_SUM,NWALT02_AG4346_SUM,NWALT02_11,NWALT02_12,NWALT02_21,NWALT02_22,NWALT02_23,NWALT02_24,NWALT02_25,NWALT02_26,NWALT02_27,NWALT02_31,NWALT02_32,NWALT02_33,NWALT02_41,NWALT02_43,NWALT02_44,NWALT02_45,NWALT02_46,NWALT02_50,NWALT02_60
01011000,0.00,0.00,0.00,0.00,3.94,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.94,0.33
01013500,0.38,0.01,5.32,5.36,6.26,1.86,0.13,0.04,0.01,0.00,0.00,0.00,0.20,0.00,0.00,0.01,0.01,4.22,1.10,0.01,0.04,85.12,0.99
01015800,0.06,0.00,0.12,0.12,2.16,1.85,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.02,0.00,0.00,94.99,0.82
01016500,0.00,0.00,0.13,0.13,0.96,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.02,0.00,0.00,97.31,0.00
01017000,0.18,0.00,1.75,1.78,1.98,1.72,0.07,0.01,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.01,1.27,0.48,0.01,0.02,93.81,0.51
01017060,2.04,0.00,52.21,52.94,0.34,0.90,0.85,0.75,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,45.73,6.48,0.05,0.68,43.79,0.00
01017290,1.78,0.42,10.60,10.70,1.24,3.02,0.29,0.04,1.18,0.08,0.00,0.00,0.19,0.00,0.40,0.02,0.03,7.95,2.65,0.00,0.10,82.68,0.12
01017550,2.55,0.29,65.41,65.73,0.00,0.90,0.14,0.90,0.00,0.00,0.00,0.40,1.11,0.00,0.29,0.00,0.00,64.01,1.40,0.00,0.32,30.53,0.00
01017960,2.36,0.00,12.38,12.90,3.10,1.75,1.71,0.08,0.05,0.10,0.00,0.00,0.43,0.00,0.00,0.00,0.03,10.30,2.08,0.14,0.39,79.85,0.00
01018000,1.94,0.10,11.25,11.72,1.71,2.91,1.38,0.06,0.03,0.05,0.00,0.01,0.41,0.00,0.10,0.00,0.02,9.34,1.90,0.10,0.38,81.60,0.00
01018009,3.32,22.70,24.88,25.26,0.00,2.57,0.09,0.37,0.00,0.00,0.26,1.85,0.76,0.02,22.68,0.00,0.00,18.58,6.29,0.06,0.33,46.15,0.00
01019000,0.03,0.00,0.09,0.09,23.34,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.08,0.00,0.00,74.58,0.00
01021200,0.47,0.00,3.83,3.99,12.70,9.68,0.24,0.06,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,3.13,0.69,0.00,0.17,70.51,2.65
