STAID,wu1985,wu1990,wu1995,wu2000,wu2005,wu2010
01011000,0.03,0.03,0.02,0.02,0.02,0.02
01013500,0.27,0.20,0.16,0.09,0.12,0.15
01015800,0.11,0.06,0.03,0.05,0.04,0.05
01016500,0.05,0.04,0.03,0.02,0.02,0.03
01017000,0.13,0.08,0.06,0.05,0.05,0.06
01017060,1.13,0.80,0.66,0.38,0.49,0.61
01017290,0.34,0.24,0.20,0.12,0.15,0.18
01017550,1.36,0.97,0.80,0.47,0.59,0.73
01017960,0.40,0.28,0.23,0.13,0.17,0.21
01018000,0.37,0.25,0.21,0.12,0.15,0.19
01018009,1.08,0.76,0.63,0.36,0.46,0.57
01019000,1.06,0.57,0.18,0.93,0.95,0.71
01021200,0.44,0.30,0.11,0.85,1.15,0.71
01021470,0.78,0.52,0.20,1.45,1.97,1.23
01021480,0.14,0.09,0.04,0.27,0.36,0.23
01021500,0.23,0.25,0.06,0.40,0.53,0.34
01022260,0.52,0.35,0.13,0.98,1.34,0.84
01022330,0.22,0.50,0.06,0.29,0.35,0.24
01022500,0.25,0.57,0.07,0.33,0.40,0.27
01023000,0.34,1.17,0.10,0.26,0.22,0.19
01027200,0.03,0.10,0.03,0.22,0.31,0.26
01029200,0.82,0.33,0.11,0.41,0.22,0.27
01029500,0.29,0.12,0.05,0.15,0.08,0.10
01030000,0.28,0.14,0.06,0.19,0.15,0.15
01030500,0.34,0.18,0.10,0.19,0.19,0.18
01031300,0.03,0.07,0.02,0.14,0.19,0.16
01031450,0.02,0.04,0.02,0.07,0.09,0.08
01031500,0.02,0.05,0.02,0.09,0.11,0.09
01031510,0.28,0.13,0.06,0.16,0.10,0.11
01033000,0.02,0.02,0.02,0.02,0.02,0.02
01033500,0.01,0.01,0.01,0.01,0.01,0.01
01034000,0.03,0.03,0.02,0.04,0.04,0.04
01034500,0.33,0.16,0.07,0.20,0.15,0.16
01035000,0.94,1.06,0.17,0.53,0.34,0.36
01036500,2.23,0.93,0.31,1.36,0.74,0.89
01037380,0.21,0.22,0.14,0.17,0.14,0.12
01038000,0.28,0.63,0.23,0.16,0.13,0.12
01041000,0.09,0.18,0.07,0.36,0.47,0.40
01042500,0.09,0.18,0.06,0.36,0.48,0.42
01043500,0.40,0.30,0.07,0.54,0.41,0.54
01044550,0.07,0.13,0.04,0.27,0.32,0.30
01045000,0.26,0.23,0.06,0.44,0.39,0.46
01046000,0.04,0.11,0.03,0.22,0.31,0.26
01046500,0.14,0.20,0.06,0.39,0.46,0.43
01047000,0.44,0.26,0.06,0.43,0.20,0.40
01047150,0.17,0.22,0.07,0.43,0.49,0.47
01047200,0.32,0.15,0.03,0.23,0.02,0.19
01048000,1.64,0.78,0.17,1.16,0.11,0.95
01048220,0.06,0.16,0.05,0.34,0.48,0.40
01049000,1.10,0.69,0.22,1.10,1.13,1.07
01049265,0.51,0.65,0.19,0.67,0.64,0.68
01049500,1.29,5.07,1.45,0.85,0.64,0.69
01052500,0.23,0.15,0.17,0.16,0.14,0.05
01053500,1.07,0.71,0.32,1.32,0.51,0.97
01053600,1.02,0.68,0.34,1.22,0.50,0.88
01054000,1.11,0.73,0.46,1.21,0.57,0.81
01054200,0.02,0.01,0.01,0.02,0.01,0.01
01054300,0.22,0.22,0.06,0.28,0.23,0.22
01054500,0.86,0.62,0.37,0.97,0.53,0.66
01055000,0.09,0.07,0.02,0.09,0.05,0.07
01055500,0.98,0.75,0.33,0.75,0.62,0.57
01057000,0.43,0.42,0.12,0.55,0.44,0.43
01058500,1.92,1.60,0.65,1.95,1.60,1.49
01059000,1.18,0.82,0.41,1.03,0.64,0.74
01059800,15.02,2.28,1.15,1.81,1.39,1.59
01060000,7.64,1.89,0.97,1.29,1.01,1.32
01064000,9.97,2.24,1.09,1.69,1.31,1.24
01064118,11.63,2.57,1.32,2.09,1.66,1.45
01064300,0.11,0.07,0.09,0.09,0.08,0.03
01064400,0.00,0.00,0.01,0.01,0.00,0.00
01064500,0.08,0.07,0.13,0.13,0.11,0.08
01064801,0.03,0.03,0.05,0.04,0.03,0.02
01065000,0.12,0.11,0.21,0.18,0.16,0.14
01065500,0.18,0.17,0.22,0.30,0.27,0.22
01066000,0.41,0.36,0.22,0.46,0.39,0.35
01066500,0.51,0.50,0.73,2.65,2.65,1.14
01067950,0.56,0.97,1.40,6.18,6.20,2.58
01068910,1.27,1.09,1.58,6.27,6.29,2.18
01069500,1.01,0.94,1.36,5.33,5.35,1.94
01069700,0.73,0.85,1.22,5.68,5.70,1.98
01072500,0.79,0.64,1.13,1.49,1.46,1.19
01072800,1.38,0.93,1.86,1.58,1.53,1.56
01072870,0.97,0.89,1.69,2.18,2.13,1.72
01073000,1.35,1.40,2.75,2.82,2.76,2.26
01073319,3.70,0.31,0.36,0.66,0.73,0.63
01073500,4.34,0.62,0.86,1.34,1.43,1.08
010735562,8.58,1.46,1.69,1.76,1.93,1.39
01073587,6.59,1.32,1.52,1.59,1.74,1.37
01073600,6.26,1.51,1.75,1.82,2.00,1.38
01073785,16.07,1.55,1.79,1.87,2.05,1.42
01074520,0.02,0.01,0.02,0.02,0.01,0.01
01075000,0.06,0.05,0.08,0.07,0.05,0.04
01075800,0.03,0.02,0.03,0.03,0.02,0.02
01076000,0.11,0.08,0.12,0.17,0.12,0.10
01076500,0.13,0.10,0.15,0.17,0.12,0.10
01077000,0.64,0.60,0.87,0.79,0.69,0.56
01077400,0.04,0.03,0.05,0.04,0.03,0.02
01078000,1.65,0.16,1.36,1.21,1.14,0.83
01081000,0.67,0.56,0.84,0.76,0.89,0.80
01081500,0.89,0.33,0.90,0.96,0.94,0.76
01082000,1.26,1.46,0.58,0.66,0.71,0.81
01083000,0.87,1.13,0.40,0.33,0.35,0.27
01084000,0.46,0.34,0.19,0.16,0.17,0.14
01084500,1.09,1.70,0.53,0.45,0.47,0.37
01085000,1.54,3.48,0.84,0.72,0.76,0.66
01085500,2.35,3.07,1.54,1.38,1.40,1.13
01085800,1.55,0.07,1.23,1.18,1.15,11.12
01086000,5.76,0.24,4.58,4.08,3.96,4.46
01087000,7.18,0.30,5.66,5.02,4.87,3.48
01088000,4.69,1.86,3.61,3.43,3.35,2.97
01089000,4.92,0.37,6.36,13.01,12.62,9.27
01089100,5.49,0.42,7.35,13.68,13.27,9.75
01089500,2.32,0.33,2.98,3.18,3.14,2.53
01090800,2.42,6.83,2.32,2.94,3.02,2.38
01091000,1.39,3.92,0.78,1.32,1.40,2.10
01091500,2.02,6.35,1.70,2.21,2.29,2.44
01092000,3.57,1.53,3.39,3.49,3.41,3.02
01093000,4.06,0.54,1.85,4.08,4.08,6.88
01093800,0.53,1.18,0.24,0.19,0.20,0.16
01093852,2.41,5.40,1.30,1.55,1.62,2.14
01094000,3.97,10.53,2.22,2.13,2.24,2.55
01094400,2.92,8.83,7.86,10.11,10.17,7.48
01094500,3.78,10.26,8.97,10.64,10.71,7.75
01095220,1.98,4.33,3.87,9.34,9.39,6.65
01095375,2.68,5.84,5.22,7.70,7.75,6.74
01095505,2.84,7.14,6.38,9.68,9.74,7.37
01096000,18.99,18.08,2.91,2.65,2.82,2.37
01096500,8.48,13.26,6.95,8.38,8.48,6.31
01096503,9.40,14.96,2.55,2.84,3.02,2.61
010965852,16.86,3.72,2.04,2.02,2.20,1.63
010965995,6.14,13.35,11.93,12.97,13.05,9.33
01096835,9.74,15.90,10.94,11.61,11.71,8.74
01096840,10.36,16.33,10.82,11.44,11.55,8.65
01096885,17.47,21.43,9.83,10.05,10.21,7.72
01097000,18.47,21.85,9.32,9.44,9.61,7.24
01097300,40.06,40.68,5.23,3.85,4.20,3.74
01097380,44.12,39.54,5.08,3.72,4.06,3.56
01097480,22.40,23.55,6.46,6.46,6.67,5.44
01098530,33.40,31.42,6.65,6.09,6.35,5.18
01099500,34.69,32.58,6.76,6.03,6.30,5.07
01100000,8.21,7.76,4.03,4.13,4.14,3.53
01100505,16.90,1.45,1.67,1.75,1.92,1.33
01100561,16.29,1.59,1.83,1.89,2.10,1.50
01100600,51.09,43.93,5.64,4.13,4.50,3.93
01100627,44.79,36.22,6.45,4.67,5.59,5.41
01101000,15.67,5.38,7.87,5.55,8.04,9.19
01101344,50.91,43.70,5.68,4.16,4.55,3.99
01101500,45.03,37.08,6.07,4.40,5.16,4.92
01102000,26.90,17.19,7.01,5.05,6.86,7.75
01102345,36.25,25.34,7.77,5.55,7.30,7.70
01102500,51.28,44.09,5.66,4.14,4.52,3.95
01103025,51.39,44.19,5.68,4.15,4.53,3.95
01103220,77.50,2.84,3.14,2.87,2.67,2.78
01103280,131.65,12.58,6.14,6.02,5.90,4.92
01103455,208.51,5.16,4.86,4.41,4.11,3.70
01103500,150.91,14.75,5.52,5.05,4.92,4.29
01104200,162.03,14.37,5.48,4.95,4.81,4.20
01104430,50.98,43.83,5.63,4.12,4.49,3.92
01104460,50.38,43.32,5.56,4.07,4.44,3.87
01104475,51.32,44.12,5.67,4.15,4.52,3.94
01104500,149.45,18.01,5.50,4.85,4.77,4.17
01105000,236.47,4.93,5.45,4.98,4.62,4.17
01105500,245.50,5.08,5.62,5.12,4.76,4.29
01105554,244.11,5.07,5.60,5.11,4.74,4.28
