STAID,imperv2011,imperv2006,imperv2001
01011000,0.00,0.00,0.00
01013500,0.21,0.21,0.21
01015800,0.03,0.03,0.03
01016500,0.01,0.01,0.01
01017000,0.09,0.09,0.09
01017060,1.06,1.06,1.05
01017290,0.94,0.93,0.90
01017550,1.59,1.59,1.58
01017960,0.73,0.72,0.71
01018000,0.57,0.57,0.56
01018009,1.17,1.17,1.17
01019000,0.02,0.02,0.02
01021200,0.27,0.27,0.26
01021470,2.56,2.56,2.52
01021480,0.30,0.30,0.28
01021500,0.26,0.26,0.25
01022260,0.18,0.18,0.18
01022330,0.33,0.33,0.32
01022500,0.34,0.33,0.33
01023000,0.11,0.11,0.10
01027200,0.06,0.06,0.52
01029200,0.02,0.02,0.02
01029500,0.02,0.02,0.02
01030000,0.12,0.12,0.90
01030500,0.22,0.22,0.21
01031300,0.09,0.09,0.09
01031450,0.16,0.16,0.16
01031500,0.35,0.35,0.34
01031510,0.67,0.67,0.67
01033000,0.12,0.12,0.11
01033500,0.11,0.11,0.11
01034000,0.32,0.31,0.31
01034500,0.21,0.21,0.60
01035000,0.06,0.05,0.05
01036500,1.19,1.18,1.17
01037380,0.42,0.42,0.42
01038000,0.74,0.73,0.73
01041000,0.14,0.14,0.31
01042500,0.13,0.13,0.26
01043500,0.22,0.18,0.24
01044550,0.10,0.02,0.03
01045000,0.15,0.12,0.15
01046000,0.18,0.18,0.18
01046500,0.15,0.14,0.23
01047000,0.39,0.38,0.37
01047150,0.23,0.22,0.29
01047200,0.41,0.41,0.41
01048000,0.74,0.73,0.73
01048220,0.41,0.41,0.41
01049000,1.08,1.07,1.06
01049265,0.63,0.62,0.62
01049500,1.69,1.68,1.67
01052500,0.03,0.03,0.03
01053500,0.16,0.16,0.20
01053600,0.17,0.17,0.21
01054000,0.32,0.31,0.35
01054200,0.01,0.01,0.01
01054300,0.27,0.27,0.27
01054500,0.42,0.41,0.43
01055000,0.33,0.33,0.33
01055500,1.03,1.01,1.01
01057000,0.81,0.80,0.80
01058500,1.63,1.59,1.55
01059000,0.86,0.85,0.84
01059800,4.08,4.04,3.99
01060000,2.05,1.99,1.94
01064000,0.96,0.95,0.92
01064118,1.82,1.77,1.70
01064300,0.72,0.72,0.72
01064400,0.00,0.00,0.00
01064500,0.82,0.79,0.74
01064801,0.13,0.13,0.13
01065000,0.66,0.62,0.61
01065500,0.73,0.70,0.69
01066000,0.72,0.69,0.67
01066500,1.06,1.05,1.05
01067950,1.06,1.06,1.06
01068910,3.72,3.68,3.66
01069500,2.65,2.61,2.59
01069700,6.11,5.63,5.62
01072500,1.80,1.77,1.75
01072800,3.78,3.56,3.50
01072870,1.08,1.07,1.06
01073000,2.18,2.13,2.12
01073319,1.16,1.15,1.15
01073500,1.78,1.72,1.67
010735562,3.07,2.79,2.69
01073587,2.78,2.63,2.59
01073600,3.25,3.17,3.16
01073785,6.71,6.04,5.86
01074520,0.19,0.18,0.15
01075000,0.72,0.71,0.65
01075800,0.01,0.01,0.01
01076000,0.35,0.35,0.34
01076500,0.67,0.66,0.62
01077000,0.27,0.27,0.26
01077400,0.09,0.08,0.08
01078000,0.47,0.47,0.47
01081000,1.68,1.60,1.53
01081500,1.04,1.01,0.97
01082000,1.43,1.40,1.37
01083000,0.48,0.48,0.48
01084000,0.51,0.51,0.51
01084500,0.32,0.32,0.31
01085000,1.09,1.07,1.04
01085500,1.15,1.13,1.10
01085800,0.18,0.18,0.18
01086000,1.12,1.12,1.11
01087000,0.60,0.60,0.60
01088000,1.12,1.10,1.08
01089000,1.11,1.09,1.07
01089100,1.67,1.64,1.58
01089500,0.73,0.73,0.72
01090800,0.86,0.85,0.85
01091000,0.89,0.88,0.88
01091500,1.14,1.12,1.11
01092000,1.78,1.73,1.67
01093000,2.16,2.15,2.10
01093800,0.15,0.15,0.15
01093852,1.42,1.40,1.39
01094000,3.08,2.96,2.83
01094400,6.41,6.25,5.98
01094500,11.43,11.21,10.71
01095220,1.62,1.61,1.60
01095375,4.58,4.29,3.91
01095505,4.31,4.15,3.96
01096000,2.21,2.18,2.15
01096500,6.81,6.58,6.23
01096503,1.57,1.57,1.50
010965852,14.10,13.20,12.74
010965995,9.85,9.51,8.16
01096835,15.06,14.53,13.30
01096840,15.19,14.61,13.39
01096885,15.51,14.88,13.78
01097000,13.15,12.61,11.68
01097300,12.96,11.41,9.32
01097380,11.22,10.60,9.58
01097480,12.73,12.03,11.02
01098530,19.83,19.24,18.10
01099500,15.17,14.63,13.70
01100000,4.64,4.44,4.21
01100505,4.89,4.73,4.65
01100561,12.47,11.50,10.91
01100600,28.83,28.01,26.15
01100627,27.17,26.57,24.85
01101000,4.98,4.72,4.55
01101344,26.92,26.24,24.02
01101500,20.61,20.00,18.32
01102000,13.56,13.07,11.96
01102345,32.67,31.80,29.10
01102500,44.44,43.64,41.03
01103025,52.76,52.43,51.31
01103220,6.71,4.36,2.70
01103280,17.51,16.89,15.44
01103455,3.49,3.45,3.40
01103500,13.32,12.64,11.69
01104200,15.20,14.53,13.60
01104430,19.55,18.73,17.51
01104460,13.51,12.86,11.98
01104475,9.65,9.14,8.50
01104500,15.85,15.19,14.25
01105000,17.94,17.25,15.80
01105500,22.25,21.77,20.60
01105554,21.95,21.38,20.16
011055566,23.55,22.99,21.83
01105583,28.64,28.17,27.21
01105585,52.48,51.88,50.27
01105600,28.89,28.17,25.55
01105638,12.17,11.90,10.66
01105730,17.65,17.01,15.57
01105870,5.54,5.48,4.26
011058756,10.68,10.32,6.74
01105876,9.06,8.61,5.96
01105880,7.21,7.09,7.02
01105917,1.67,1.67,1.66
01105933,15.43,14.90,13.89
01106000,2.78,2.75,2.72
01106500,28.27,27.65,26.38
01108000,11.35,10.94,10.10
01108320,11.16,10.53,9.56
01108410,11.00,10.50,9.66
01108500,12.43,11.24,10.50
01109000,11.35,10.49,9.77
01109060,13.24,12.45,11.53
01109070,4.84,4.78,4.43
01109090,0.49,0.48,0.48
01109220,4.11,4.07,3.80
01109403,23.68,23.31,22.21
01109500,10.65,10.21,9.64
01109730,22.88,22.38,21.22
01110000,27.66,27.04,25.76
01110500,20.97,20.40,19.19
01111050,4.91,4.68,4.27
01111200,3.41,3.28,2.73
01111212,14.13,13.71,12.79
01111225,1.99,1.98,1.97
01111300,1.14,1.14,1.14
01111500,3.43,3.39,3.27
01112500,11.05,10.71,10.04
01113695,6.08,5.51,4.96
01113895,12.08,11.73,10.99
01114000,37.84,37.46,36.33
01114500,11.80,11.50,10.73
01115098,2.18,2.17,2.16
01115187,1.19,1.19,1.19
01115630,2.35,2.34,2.34
01115670,1.92,1.92,1.92
01115770,4.68,4.56,3.25
01116000,4.95,4.84,4.43
01116500,8.17,8.06,7.63
01116905,10.40,9.84,8.49
01117000,15.14,14.58,13.09
01117350,3.65,3.24,3.13
01117370,2.25,2.17,2.16
01117420,1.72,1.68,1.67
01117430,2.72,2.61,2.53
01117468,1.73,1.73,1.68
01117500,2.68,2.61,2.53
01117800,0.82,0.82,0.82
01118000,1.96,1.95,1.92
01118300,0.54,0.54,0.54
01118500,3.01,2.96,2.88
01119384,1.65,1.60,1.50
01119500,2.18,2.11,1.94
01120000,1.82,1.78,1.69
01120500,0.42,0.42,0.42
01121000,0.74,0.74,0.73
01122000,1.44,1.39,1.31
01122500,2.04,1.98,1.85
01123000,0.57,0.57,0.57
011230695,1.88,1.83,1.72
01123360,1.08,1.08,1.04
01123600,1.97,1.92,1.80
01124000,2.63,2.50,2.37
01124151,2.57,2.45,2.32
01124350,4.31,3.92,3.65
01124500,2.02,1.91,1.81
01125000,5.53,5.15,4.75
01125100,6.09,5.71,5.27
01125500,3.72,3.53,3.30
01126000,2.04,1.77,1.73
01126500,1.70,1.70,1.67
01127000,3.07,2.90,2.73
01127500,1.60,1.56,1.43
01127880,0.12,0.12,0.12
01128500,0.35,0.35,0.37
01129200,0.30,0.30,0.33
01130000,0.20,0.20,0.20
01133000,0.31,0.31,0.31
01134500,0.08,0.08,0.08
01135000,0.58,0.58,0.58
01135150,0.31,0.31,0.31
01135300,0.88,0.88,0.88
01135500,1.29,1.29,1.27
01137500,0.83,0.82,0.78
01138000,0.98,0.97,0.94
01139000,0.70,0.70,0.70
01139800,0.22,0.22,0.22
01141500,0.40,0.40,0.40
01141800,0.24,0.24,0.24
01142500,0.99,0.99,0.99
01144000,0.73,0.73,0.72
01145000,0.49,0.49,0.48
01150500,0.63,0.62,0.62
01150900,1.99,1.81,1.76
01151500,0.94,0.91,0.90
01152500,1.78,1.75,1.72
01153000,0.96,0.93,0.89
01153500,0.84,0.83,0.82
01153550,0.83,0.82,0.82
01154000,0.42,0.42,0.42
01154500,1.00,0.99,3.58
01155000,0.52,0.51,0.51
01155500,0.54,0.54,0.53
01155910,0.63,0.62,0.58
01156000,0.64,0.62,0.59
01156500,1.02,1.00,3.28
01157000,0.39,0.39,0.38
01158000,0.38,0.38,0.38
01158600,0.62,0.61,0.60
01160000,0.82,0.78,0.78
01160350,1.72,1.67,1.61
01161000,1.53,1.49,1.43
01161500,0.75,0.75,0.75
01162000,1.69,1.66,1.64
01162500,0.55,0.55,0.55
01163200,9.58,9.42,9.20
01164000,3.23,3.19,3.12
01165000,0.37,0.37,0.37
01165500,0.29,0.29,0.29
01166500,2.50,2.46,2.40
01168151,0.57,0.54,0.53
01168500,0.55,0.53,0.53
01169000,0.57,0.57,0.57
01169900,0.94,0.93,0.93
01170000,0.66,0.64,0.63
01170100,0.27,0.27,0.27
01170500,1.15,1.13,2.96
01170930,2.05,1.99,1.90
01171300,2.07,1.98,1.91
01171500,2.04,1.99,1.98
01172500,1.25,1.23,1.11
01173000,1.03,1.02,0.94
01173500,1.37,1.34,1.28
01174000,0.81,0.80,0.80
01174500,0.41,0.41,0.41
01174565,0.25,0.25,0.25
01174600,0.43,0.43,0.43
01174900,0.17,0.17,0.17
01175500,0.28,0.28,0.28
01175670,0.78,0.78,0.78
01176000,1.96,1.92,1.80
01176780,1.06,1.05,1.04
01177000,1.67,1.61,1.54
01179500,0.62,0.62,0.62
01180000,0.23,0.23,0.23
01180500,0.21,0.21,0.21
01181000,0.44,0.44,0.44
01183500,1.79,1.73,1.65
01184000,1.74,1.70,3.15
01184100,2.65,2.50,2.33
01184490,3.95,3.75,3.34
01184500,4.03,3.87,3.73
01185500,0.52,0.52,0.52
01186000,0.46,0.46,0.46
01186500,2.01,1.84,1.77
01187300,0.18,0.18,0.18
01187400,0.17,0.17,0.17
01187800,1.11,0.98,0.95
01188000,2.13,1.96,1.94
01188090,1.23,1.17,1.10
01189000,13.50,13.18,12.85
01189995,3.45,3.31,3.17
01190000,3.65,3.50,3.34
01190500,29.43,28.93,28.33
01191000,16.15,15.48,14.37
01192500,14.82,14.36,13.66
01192883,2.85,2.80,2.68
01193500,2.06,1.99,1.87
01194000,0.56,0.54,0.51
01194500,1.23,1.22,1.20
01195100,2.24,1.84,1.72
01195200,4.76,4.63,4.42
01195490,24.29,23.47,22.65
01196500,18.89,18.15,17.48
01196561,6.03,5.57,5.42
01196620,8.58,8.38,8.16
01197000,1.84,1.79,1.76
01197500,3.45,3.30,3.18
01198000,0.41,0.38,0.38
01198125,2.50,2.40,2.32
01198500,1.31,1.25,1.22
01199000,2.03,1.95,1.88
01199050,0.89,0.88,0.87
01199200,0.20,0.20,0.20
01200000,1.42,1.39,1.37
01200500,1.68,1.62,1.58
01201487,16.76,16.08,15.38
01202501,0.53,0.53,0.53
012035055,3.86,3.50,3.32
01203510,6.25,5.79,5.54
01203600,2.14,2.11,2.09
01203805,0.89,0.89,0.89
01204000,2.39,2.30,2.27
01205500,2.53,2.43,2.34
01205600,2.20,2.18,2.18
01205700,9.47,9.38,9.21
01206900,4.47,4.34,4.26
01208500,9.46,9.11,8.87
01208873,35.82,35.30,35.04
01208925,6.53,6.41,6.15
01208950,5.86,5.59,5.45
01208990,1.34,1.32,1.31
012095493,13.51,12.63,12.09
01209700,5.91,5.51,5.39
01209761,2.57,2.08,2.08
01209901,7.74,7.45,7.25
01300000,20.60,19.96,19.21
01300500,21.16,21.05,20.96
01301000,21.02,20.61,20.29
01301500,28.40,28.01,27.73
01302000,20.58,19.81,19.47
01302020,29.72,28.81,28.44
01302500,20.52,20.05,19.83
01303000,8.29,8.10,8.04
01303500,13.40,13.27,12.96
01304000,26.49,26.05,25.52
01304500,7.32,6.92,6.48
01305000,19.35,18.84,17.75
01305500,25.47,24.88,22.96
01306000,30.10,29.47,28.17
01306440,26.68,25.88,25.35
01306460,28.15,27.49,26.89
01306500,27.65,27.02,26.24
01307000,39.55,38.78,38.05
01307500,44.87,44.60,43.56
01308000,31.99,31.32,30.28
01308500,29.18,28.89,28.35
01309000,39.85,39.65,39.01
01309500,36.76,36.30,35.75
01309950,58.86,58.63,58.35
01310000,58.85,58.62,58.34
01310500,39.18,38.73,38.32
01311000,48.36,47.96,47.59
01311500,63.06,62.94,62.83
01311810,65.04,64.87,64.68
01312000,0.07,0.07,0.07
01315000,0.04,0.04,0.04
01315500,0.07,0.07,0.07
01317000,0.38,0.37,0.36
01318500,0.24,0.23,0.22
01319000,0.01,0.01,0.01
01321000,0.07,0.07,0.07
01325000,0.23,0.22,0.21
01327750,0.38,0.36,0.35
01328000,4.44,3.91,3.76
01329000,1.31,1.28,1.24
01329490,0.83,0.82,0.80
01329500,0.84,0.82,0.80
01330000,0.85,0.85,0.84
01330500,0.67,0.65,0.63
01331095,0.75,0.70,0.67
01331500,1.78,1.70,1.59
01332000,0.83,0.80,0.79
01332500,2.92,2.84,2.74
01333000,0.92,0.85,0.83
01333500,0.56,0.55,0.55
01334000,2.93,2.78,2.64
01334500,2.01,1.93,1.86
01335754,1.02,0.96,0.91
01336000,0.17,0.17,0.17
01343060,0.02,0.02,0.02
01346000,0.17,0.17,0.17
01347000,1.60,1.54,1.45
01348000,0.20,0.20,0.19
01349000,0.58,0.58,0.58
01349150,0.86,0.86,0.82
01349700,0.09,0.09,0.09
01349705,0.36,0.34,0.33
01349711,0.00,0.00,0.00
01349810,0.06,0.06,0.06
01349840,0.00,0.00,0.00
01349950,0.44,0.37,0.36
01350000,0.34,0.31,0.30
01350035,0.41,0.41,0.41
01350080,0.12,0.12,0.12
01350101,0.31,0.29,0.29
01350120,0.36,0.36,0.35
01350140,0.22,0.22,0.22
01350180,0.32,0.30,0.29
01350355,0.30,0.29,0.28
01351500,0.66,0.65,0.64
01356190,15.71,14.82,14.14
01357500,1.80,1.73,1.65
01358000,1.38,1.31,1.25
