STAID,imperv1974est,imperv1982est,imperv1992est,imperv2002est,imperv2012est
01011000,0.23,0.23,0.23,0.23,0.23
01013500,0.27,0.27,0.27,0.28,0.29
01015800,0.23,0.24,0.24,0.24,0.24
01016500,0.24,0.24,0.24,0.24,0.24
01017000,0.26,0.26,0.26,0.26,0.26
01017060,0.74,0.75,0.76,0.77,0.79
01017290,0.73,0.74,0.75,0.76,0.76
01017550,0.71,0.71,0.73,0.80,0.83
01017960,0.58,0.59,0.61,0.62,0.63
01018000,0.51,0.52,0.53,0.55,0.55
01018009,1.08,1.09,1.10,1.10,1.12
01019000,0.11,0.11,0.11,0.11,0.11
01021200,0.00,0.00,0.00,0.00,0.00
01021470,0.00,0.00,0.00,0.00,0.00
01021480,0.00,0.00,0.00,0.00,0.00
01021500,0.02,0.02,0.02,0.02,0.02
01022260,0.00,0.00,0.00,0.00,0.00
01022330,0.16,0.16,0.17,0.17,0.19
01022500,0.07,0.07,0.07,0.07,0.08
01023000,0.27,0.27,0.27,0.29,0.29
01027200,0.24,0.24,0.24,0.24,0.24
01029200,0.20,0.20,0.20,0.20,0.20
01029500,0.21,0.21,0.21,0.21,0.21
01030000,0.26,0.27,0.27,0.27,0.27
01030500,0.34,0.34,0.34,0.35,0.35
01031300,0.25,0.25,0.25,0.26,0.26
01031450,0.27,0.27,0.28,0.28,0.28
01031500,0.37,0.38,0.38,0.39,0.39
01031510,0.48,0.50,0.52,0.55,0.55
01033000,0.26,0.26,0.26,0.27,0.27
01033500,0.26,0.26,0.26,0.26,0.26
01034000,0.36,0.36,0.36,0.37,0.37
01034500,0.32,0.32,0.33,0.33,0.33
01035000,0.22,0.22,0.22,0.22,0.22
01036500,0.82,0.85,0.87,0.91,0.94
01037380,0.34,0.34,0.34,0.34,0.34
01038000,0.62,0.62,0.63,0.67,0.68
01041000,0.25,0.26,0.26,0.27,0.27
01042500,0.25,0.25,0.25,0.27,0.27
01043500,0.26,0.27,0.28,0.28,0.28
01044550,0.23,0.23,0.24,0.25,0.25
01045000,0.25,0.25,0.26,0.27,0.27
01046000,0.29,0.29,0.30,0.30,0.30
01046500,0.26,0.26,0.27,0.28,0.28
01047000,0.37,0.37,0.38,0.39,0.39
01047150,0.29,0.30,0.30,0.31,0.31
01047200,0.34,0.34,0.35,0.35,0.35
01048000,0.53,0.55,0.56,0.56,0.57
01048220,0.33,0.33,0.33,0.34,0.34
01049000,0.74,0.76,0.77,0.79,0.80
01049265,0.53,0.54,0.55,0.57,0.58
01049500,1.56,1.63,1.71,1.75,1.81
01052500,0.21,0.21,0.21,0.21,0.21
01053500,0.25,0.25,0.25,0.28,0.28
01053600,0.25,0.26,0.26,0.28,0.28
01054000,0.36,0.37,0.37,0.39,0.40
01054200,0.12,0.12,0.12,0.12,0.12
01054300,0.28,0.28,0.28,0.28,0.28
01054500,0.39,0.40,0.41,0.42,0.43
01055000,0.26,0.26,0.29,0.29,0.29
01055500,0.69,0.72,0.74,0.75,0.76
01057000,0.42,0.43,0.43,0.43,0.44
01058500,1.08,1.13,1.19,1.23,1.28
01059000,0.70,0.72,0.74,0.76,0.78
01059800,3.09,3.21,3.24,3.36,3.50
01060000,1.89,1.98,2.07,2.12,2.25
01064000,0.87,0.90,0.95,0.99,1.02
01064118,1.60,1.68,1.75,1.83,1.92
01064300,0.37,0.40,0.43,0.44,0.45
01064400,0.24,0.24,0.24,0.24,0.24
01064500,0.55,0.63,0.69,0.74,0.76
01064801,0.24,0.24,0.24,0.24,0.24
01065000,0.44,0.49,0.51,0.54,0.59
01065500,0.52,0.57,0.59,0.61,0.66
01066000,0.51,0.56,0.59,0.62,0.66
01066500,0.96,1.00,1.06,1.21,1.29
01067950,1.07,1.11,1.18,1.28,1.34
01068910,2.90,3.02,3.06,3.20,3.26
01069500,2.16,2.25,2.30,2.41,2.49
01069700,3.46,3.62,3.74,4.07,4.41
01072500,1.74,1.86,1.97,2.03,2.19
01072800,3.81,4.17,4.43,4.59,4.95
01072870,1.67,1.71,1.99,2.21,2.31
01073000,2.46,2.70,3.15,3.35,3.50
01073319,1.35,1.42,1.47,1.57,1.68
01073500,1.91,2.06,2.26,2.47,2.66
010735562,2.37,2.47,3.55,3.73,4.14
01073587,2.19,2.34,2.99,3.07,3.39
01073600,2.32,2.44,2.95,3.09,3.31
01073785,5.18,5.59,6.59,7.12,8.05
01074520,0.21,0.22,0.23,0.23,0.23
01075000,0.60,0.61,0.63,0.66,0.67
01075800,0.33,0.33,0.33,0.33,0.34
01076000,0.47,0.48,0.48,0.49,0.49
01076500,0.62,0.65,0.66,0.68,0.70
01077000,0.50,0.52,0.54,0.56,0.58
01077400,0.37,0.37,0.37,0.37,0.37
01078000,0.60,0.61,0.62,0.63,0.64
01081000,1.41,1.55,1.67,1.72,1.79
01081500,0.97,1.04,1.09,1.12,1.16
01082000,1.27,1.42,1.46,1.53,1.65
01083000,0.64,0.64,0.65,0.66,0.66
01084000,0.61,0.62,0.64,0.66,0.68
01084500,0.61,0.62,0.62,0.62,0.65
01085000,1.15,1.20,1.26,1.29,1.36
01085500,1.16,1.22,1.28,1.31,1.37
01085800,0.49,0.49,0.49,0.49,0.72
01086000,1.07,1.08,1.09,1.10,1.15
01087000,0.83,0.88,0.89,0.91,0.92
01088000,1.14,1.19,1.23,1.26,1.31
01089000,0.81,0.83,0.95,1.13,1.21
01089100,1.03,1.14,1.42,1.65,1.75
01089500,0.82,0.83,0.88,0.91,0.95
01090800,0.78,0.79,0.93,1.08,1.10
01091000,0.84,0.85,0.92,1.03,1.26
01091500,1.00,1.01,1.16,1.29,1.46
01092000,1.49,1.59,1.70,1.76,1.86
01093000,1.56,1.65,1.83,2.09,2.30
01093800,0.50,0.50,0.50,0.50,0.50
01093852,1.32,1.34,1.37,1.48,1.68
01094000,2.33,2.69,3.03,3.16,3.50
01094400,5.44,5.61,5.96,6.14,6.44
01094500,9.35,9.79,10.37,10.55,10.93
01095220,1.61,1.73,1.82,2.05,2.08
01095375,3.74,3.91,4.13,4.27,4.79
01095505,3.55,3.72,3.92,4.09,4.35
01096000,2.12,2.43,2.53,2.58,2.64
01096500,5.37,5.71,6.06,6.22,6.54
01096503,1.37,1.54,1.66,1.83,1.93
010965852,7.79,10.54,13.20,13.66,14.37
010965995,5.19,7.69,8.57,8.89,9.96
01096835,8.05,10.14,11.79,12.24,13.73
01096840,8.12,10.18,11.84,12.29,13.74
01096885,8.84,10.56,12.04,12.54,13.96
01097000,7.82,9.24,10.48,10.90,12.09
01097300,6.21,7.59,8.90,10.20,11.85
01097380,8.50,9.77,10.43,11.09,12.00
01097480,8.61,9.28,10.40,11.31,12.31
01098530,14.84,16.39,17.56,18.21,19.57
01099500,11.45,12.85,13.81,14.30,15.37
01100000,3.43,3.80,4.16,4.32,4.64
01100505,2.86,3.15,5.50,5.73,5.86
01100561,8.12,8.92,10.85,11.35,12.77
01100600,23.93,25.99,27.58,28.04,29.01
01100627,21.12,23.39,25.20,26.11,27.33
01101000,4.84,5.07,5.36,5.47,5.97
01101344,19.99,21.78,22.92,24.25,25.47
01101500,16.44,17.42,18.56,19.21,20.37
01102000,10.24,10.99,11.97,12.40,13.48
01102345,26.66,28.04,29.17,29.34,30.14
01102500,33.21,35.41,36.79,37.34,38.59
01103025,44.36,44.39,44.76,44.86,45.09
01103220,1.62,1.66,1.87,2.64,6.11
01103280,10.51,12.02,13.23,15.07,16.99
01103455,4.85,4.89,4.91,4.99,5.01
01103500,10.25,11.40,12.32,13.38,14.67
01104200,12.34,13.54,14.44,15.42,16.70
01104430,17.25,17.97,19.04,19.53,20.42
01104460,14.76,15.14,15.59,15.90,16.72
01104475,16.79,16.83,16.83,16.83,17.14
01104500,13.68,14.79,15.62,16.51,17.73
01105000,15.45,16.54,17.20,18.20,19.20
01105500,17.80,19.84,21.52,22.59,23.77
01105554,18.10,19.76,20.84,21.71,22.77
011055566,19.94,21.51,22.52,23.25,24.29
01105583,22.40,24.55,25.99,26.65,27.61
01105585,38.55,42.00,43.31,43.71,44.56
01105600,24.01,26.74,27.81,29.13,31.83
01105638,12.27,13.71,14.45,14.52,15.75
01105730,14.59,17.23,17.95,18.29,19.86
01105870,3.97,4.50,4.95,5.46,6.78
011058756,5.03,7.38,8.39,8.76,11.22
01105876,5.32,7.48,8.19,8.86,10.87
01105880,5.36,6.12,8.35,8.62,8.86
01105917,1.59,1.92,2.24,2.29,2.37
01105933,13.54,15.19,16.96,17.26,18.54
01106000,2.94,2.97,3.28,3.31,3.44
01106500,22.53,25.02,26.06,26.37,27.21
01108000,8.98,10.06,10.71,11.04,11.89
01108320,7.04,9.06,11.48,13.15,14.62
01108410,7.53,9.30,11.22,12.40,13.54
01108500,9.34,10.13,11.76,12.23,13.10
01109000,8.79,9.84,11.30,11.66,12.62
01109060,10.07,11.58,13.02,13.56,14.90
01109070,3.93,4.26,5.03,5.27,5.74
01109090,1.28,1.37,1.39,1.43,1.47
01109220,3.26,3.89,4.16,4.36,4.75
01109403,19.47,20.79,21.86,22.59,24.02
01109500,10.08,10.22,10.74,10.93,11.56
01109730,18.82,19.18,19.66,19.86,20.93
01110000,21.10,21.52,23.07,23.86,25.27
01110500,16.21,16.56,17.72,18.07,19.27
01111050,3.67,3.75,4.02,4.24,4.73
01111200,2.40,2.55,2.78,2.98,3.45
01111212,10.81,11.05,11.88,12.17,13.08
01111225,1.57,1.64,2.14,2.19,2.51
01111300,0.99,1.05,1.27,1.27,1.60
01111500,3.15,3.49,3.67,3.72,3.93
01112500,8.55,8.86,9.47,9.71,10.47
01113695,3.46,3.55,4.02,4.49,5.62
01113895,9.41,9.81,10.42,10.72,11.63
01114000,29.40,30.83,31.85,32.22,33.54
01114500,9.55,10.53,11.36,11.88,12.69
01115098,2.80,3.17,3.28,3.30,3.30
01115187,1.46,1.58,1.59,1.59,1.71
01115630,2.35,2.40,2.47,2.49,2.52
01115670,2.53,2.64,2.66,2.97,3.19
01115770,2.35,2.73,2.80,2.83,3.72
01116000,3.53,4.42,4.69,4.91,5.34
01116500,6.32,7.15,7.86,8.14,8.64
01116905,5.68,6.38,9.64,10.22,12.16
01117000,10.65,11.80,14.14,14.66,16.57
01117350,2.79,3.10,3.52,3.89,4.62
01117370,2.20,2.44,2.62,2.87,3.03
01117420,1.94,2.09,2.26,2.47,2.58
01117430,2.66,2.81,3.02,3.27,3.51
01117468,1.91,1.97,2.43,2.63,2.67
01117500,2.53,2.70,2.96,3.17,3.38
01117800,1.18,1.19,1.20,1.21,1.25
01118000,1.99,2.02,2.08,2.13,2.19
01118300,0.75,0.75,0.75,0.75,0.75
01118500,2.59,2.80,3.03,3.16,3.30
01119384,1.80,1.89,1.95,2.01,2.10
01119500,2.45,2.56,2.67,2.75,2.92
01120000,2.09,2.24,2.30,2.36,2.47
01120500,0.74,0.82,0.82,0.82,0.87
01121000,1.24,1.35,1.37,1.45,1.65
01122000,1.73,1.90,1.93,1.97,2.16
01122500,2.27,2.43,2.49,2.55,2.72
01123000,0.91,0.92,0.93,0.99,1.00
011230695,2.13,2.28,2.34,2.40,2.54
01123360,1.31,1.40,1.53,1.56,1.70
01123600,2.13,2.28,2.45,2.55,2.74
01124000,2.66,2.85,3.09,3.17,3.38
01124151,2.58,2.78,3.01,3.08,3.28
01124350,4.58,4.71,5.00,5.15,5.60
01124500,1.78,2.17,2.32,2.42,2.57
01125000,4.94,5.25,5.50,5.63,6.07
01125100,5.36,5.68,6.02,6.16,6.61
01125500,3.46,3.69,3.96,4.05,4.33
01126000,1.98,2.09,2.13,2.22,2.51
01126500,1.53,1.58,1.68,1.76,1.86
01127000,2.82,2.98,3.16,3.23,3.47
01127500,1.58,1.66,1.76,1.85,1.99
01127880,0.24,0.24,0.24,0.24,0.24
01128500,0.26,0.27,0.28,0.29,0.29
01129200,0.29,0.29,0.30,0.30,0.30
01130000,0.27,0.27,0.27,0.27,0.28
01133000,0.29,0.29,0.29,0.29,0.29
01134500,0.22,0.22,0.22,0.22,0.22
01135000,0.48,0.50,0.50,0.51,0.51
01135150,0.31,0.31,0.31,0.31,0.31
01135300,0.42,0.42,0.42,0.43,0.43
01135500,0.76,0.79,0.81,0.82,0.84
01137500,0.55,0.61,0.62,0.64,0.65
01138000,0.84,0.88,0.91,0.92,0.94
01139000,0.54,0.56,0.56,0.56,0.57
01139800,0.40,0.40,0.40,0.40,0.40
01141500,0.52,0.53,0.53,0.53,0.53
01141800,0.46,0.46,0.46,0.46,0.46
01142500,0.99,1.01,1.01,1.02,1.05
01144000,0.72,0.73,0.75,0.75,0.77
01145000,0.57,0.58,0.63,0.64,0.66
01150500,0.68,0.73,0.78,0.79,0.85
01150900,0.79,0.91,1.46,1.58,1.62
01151500,0.76,0.83,0.94,0.98,0.99
01152500,1.34,1.41,1.49,1.52,1.58
01153000,0.85,0.91,0.97,1.00,1.01
01153500,0.83,0.85,0.87,0.89,0.90
01153550,0.80,0.82,0.84,0.85,0.86
01154000,0.42,0.42,0.42,0.42,0.42
01154500,0.82,0.86,0.89,0.90,0.92
01155000,0.58,0.58,0.58,0.59,0.59
01155500,0.49,0.50,0.51,0.52,0.55
01155910,0.50,0.52,0.54,0.55,0.59
01156000,0.49,0.51,0.53,0.54,0.58
01156500,0.82,0.85,0.89,0.90,0.92
01157000,0.50,0.51,0.51,0.52,0.53
01158000,0.50,0.50,0.50,0.51,0.52
01158600,0.61,0.63,0.64,0.69,0.70
01160000,0.85,0.86,0.86,0.86,0.95
01160350,1.50,1.56,1.60,1.63,1.71
01161000,1.40,1.44,1.47,1.50,1.57
01161500,0.78,0.80,0.81,0.84,0.99
01162000,1.56,1.71,1.85,1.88,2.12
01162500,0.68,0.69,0.69,0.69,0.79
01163200,7.02,7.37,7.76,7.95,8.19
01164000,2.60,2.74,2.91,2.99,3.19
01165000,0.57,0.57,0.57,0.57,0.60
01165500,0.51,0.51,0.51,0.51,0.52
01166500,2.17,2.28,2.39,2.45,2.58
01168151,0.48,0.54,0.59,0.60,0.61
01168500,0.51,0.55,0.60,0.60,0.61
01169000,0.55,0.56,0.58,0.59,0.59
01169900,0.93,0.94,0.97,0.98,0.98
01170000,0.63,0.67,0.71,0.71,0.72
01170100,0.34,0.35,0.35,0.35,0.35
01170500,0.95,0.99,1.03,1.04,1.07
01170930,1.58,1.61,1.94,1.94,1.99
01171300,2.25,2.36,2.65,2.74,2.84
01171500,2.48,2.58,2.64,2.65,2.67
01172500,1.06,1.10,1.18,1.20,1.37
01173000,0.93,0.97,1.03,1.04,1.16
01173500,1.37,1.42,1.49,1.51,1.60
01174000,1.12,1.21,1.24,1.29,1.29
01174500,0.72,0.73,0.73,0.73,0.73
01174565,0.67,0.69,0.71,0.71,0.71
01174600,1.09,1.33,1.38,1.43,1.43
01174900,0.46,0.51,0.52,0.58,0.58
01175500,0.58,0.60,0.61,0.62,0.62
01175670,1.07,1.08,1.13,1.23,1.37
01176000,2.25,2.29,2.37,2.41,2.59
01176780,1.12,1.16,1.43,1.44,1.47
01177000,1.69,1.75,1.83,1.87,1.97
01179500,0.57,0.59,0.60,0.60,0.61
01180000,0.37,0.37,0.37,0.37,0.38
01180500,0.34,0.34,0.34,0.34,0.34
01181000,0.58,0.60,0.61,0.61,0.61
01183500,1.71,1.77,1.85,1.87,1.94
01184000,1.50,1.56,1.62,1.64,1.69
01184100,1.68,1.75,1.82,1.82,2.03
01184490,2.84,3.52,3.90,4.07,4.58
01184500,3.67,3.97,4.16,4.22,4.47
01185500,0.67,0.69,0.71,0.71,0.73
01186000,0.62,0.64,0.65,0.66,0.67
01186500,1.62,1.67,1.75,1.81,1.95
01187300,0.34,0.35,0.35,0.35,0.35
01187400,0.38,0.39,0.39,0.40,0.40
01187800,0.95,0.99,1.17,1.25,1.46
01188000,1.92,1.92,2.42,2.42,2.63
01188090,1.19,1.23,1.31,1.34,1.44
01189000,10.37,11.44,12.48,12.59,12.91
01189995,3.09,3.31,3.59,3.65,3.86
01190000,3.20,3.42,3.70,3.76,3.99
01190500,25.46,26.33,26.85,27.10,27.67
01191000,13.49,13.93,15.13,15.26,16.16
01192500,12.26,13.05,14.30,14.48,15.14
01192883,2.91,3.06,3.28,3.42,3.62
01193500,2.38,2.49,2.60,2.66,2.81
01194000,0.95,0.97,0.99,1.05,1.08
01194500,1.53,1.61,1.67,1.70,1.81
01195100,2.34,2.79,2.95,3.08,3.58
01195200,6.44,6.60,7.12,7.42,7.81
01195490,18.35,20.44,21.96,22.26,23.14
01196500,15.43,16.92,18.31,18.56,19.23
01196561,4.88,5.54,6.61,7.13,7.37
01196620,7.55,8.29,9.57,9.73,10.03
01197000,1.67,1.70,1.72,1.73,1.77
01197500,3.14,3.22,3.28,3.29,3.41
01198000,0.61,0.62,0.65,0.65,0.68
01198125,2.32,2.37,2.42,2.43,2.52
01198500,1.16,1.20,1.21,1.21,1.24
01199000,1.91,1.95,1.99,2.00,2.07
01199050,1.10,1.11,1.12,1.12,1.19
01199200,0.49,0.50,0.50,0.51,0.51
01200000,1.41,1.46,1.49,1.52,1.56
01200500,1.63,1.67,1.70,1.71,1.77
01201487,13.75,15.38,15.90,16.01,16.56
01202501,0.59,0.64,0.66,0.68,0.70
012035055,3.27,3.33,3.59,3.70,4.01
01203510,5.07,5.11,5.30,5.39,5.72
01203600,1.58,1.61,1.66,1.80,1.90
01203805,0.87,0.87,0.92,0.92,1.02
01204000,2.16,2.32,2.48,2.55,2.77
01205500,2.32,2.45,2.53,2.57,2.67
01205600,1.76,1.79,1.84,1.85,1.91
01205700,7.78,8.03,8.09,8.14,8.30
01206900,3.62,3.69,3.77,3.80,3.92
01208500,7.70,7.99,8.41,8.59,8.94
01208873,28.33,30.78,30.85,30.86,31.42
01208925,6.36,6.56,6.77,6.83,7.31
01208950,7.13,7.28,7.37,7.39,7.53
01208990,2.62,2.71,2.74,2.76,2.86
012095493,10.73,13.35,14.13,14.25,14.38
01209700,6.02,6.45,6.60,6.67,6.84
01209761,1.88,2.44,2.48,2.58,2.79
01209901,8.95,9.12,9.28,9.30,9.49
01300000,22.56,24.11,24.50,25.44,26.29
01300500,26.39,26.40,26.40,26.71,28.20
01301000,24.01,24.80,25.21,25.51,26.14
01301500,35.95,36.36,36.48,36.48,36.77
01302000,23.75,24.48,24.73,25.19,25.99
01302020,31.97,32.70,32.94,33.36,34.16
01302500,22.42,23.50,23.98,24.23,24.79
01303000,13.22,13.45,13.58,13.63,13.91
01303500,14.82,16.13,16.59,16.66,16.86
01304000,25.10,26.44,27.18,28.37,30.31
01304500,6.37,7.28,7.79,8.37,8.88
01305000,14.63,17.78,18.97,19.86,21.76
01305500,18.32,21.06,21.44,23.01,24.84
01306000,22.11,26.01,26.55,28.14,30.06
01306440,22.18,27.28,28.76,29.25,31.67
01306460,23.28,28.13,29.43,29.81,31.94
01306500,22.02,26.50,27.67,28.03,29.79
01307000,31.29,37.13,37.34,38.86,42.56
01307500,33.89,40.92,42.21,42.25,44.60
01308000,27.37,29.74,30.59,30.64,31.85
01308500,26.29,28.15,28.92,29.34,30.56
01309000,34.33,34.50,35.20,35.46,35.57
01309500,32.22,33.22,34.08,34.57,35.01
01309950,46.39,46.56,46.57,46.60,46.72
01310000,46.40,46.56,46.57,46.60,46.72
01310500,33.67,34.82,35.41,35.53,35.86
01311000,39.13,40.32,41.07,41.85,42.17
01311500,44.59,44.59,44.59,44.59,44.82
01311810,43.44,43.47,43.48,43.48,43.67
