STAID,NWALT92_DEV_SUM,NWALT92_SEMIDEV_SUM,NWALT92_AG4344_SUM,NWALT92_AG4346_SUM,NWALT92_11,NWALT92_12,NWALT92_21,NWALT92_22,NWALT92_23,NWALT92_24,NWALT92_25,NWALT92_26,NWALT92_27,NWALT92_31,NWALT92_32,NWALT92_33,NWALT92_41,NWALT92_43,NWALT92_44,NWALT92_45,NWALT92_46,NWALT92_50,NWALT92_60
01011000,0.00,0.00,0.00,0.00,3.94,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.94,0.33
01013500,0.32,0.01,5.31,5.35,6.26,1.86,0.08,0.03,0.01,0.00,0.00,0.00,0.20,0.00,0.00,0.01,0.01,4.31,1.00,0.01,0.04,85.20,0.99
01015800,0.06,0.00,0.10,0.11,2.16,1.85,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.02,0.00,0.00,95.00,0.82
01016500,0.00,0.00,0.13,0.13,0.96,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.01,0.00,0.00,97.31,0.00
01017000,0.17,0.00,1.72,1.75,1.98,1.72,0.06,0.01,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.01,1.29,0.44,0.01,0.02,93.85,0.51
01017060,1.99,0.00,52.23,52.96,0.34,0.90,0.80,0.75,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,46.58,5.66,0.05,0.68,43.81,0.00
01017290,1.75,0.42,10.55,10.65,1.24,3.02,0.27,0.04,1.18,0.08,0.00,0.00,0.19,0.00,0.40,0.02,0.02,8.16,2.39,0.00,0.10,82.77,0.12
01017550,2.37,0.29,65.52,65.84,0.00,0.90,0.14,0.72,0.00,0.00,0.00,0.40,1.11,0.00,0.29,0.00,0.00,64.48,1.04,0.00,0.32,30.60,0.00
01017960,2.30,0.00,12.35,12.88,3.10,1.75,1.65,0.08,0.05,0.10,0.00,0.00,0.42,0.00,0.00,0.00,0.03,10.40,1.95,0.14,0.39,79.94,0.00
01018000,1.86,0.10,11.22,11.70,1.71,2.91,1.31,0.05,0.03,0.05,0.00,0.01,0.41,0.00,0.10,0.00,0.02,9.41,1.82,0.10,0.38,81.70,0.00
