STAID,N_MANURE_1982,N_MANURE_1987,N_MANURE_1992,N_MANURE_1997,N_MANURE_2002,N_MANURE_2007,N_MANURE_2012,P_MANURE_1982,P_MANURE_1987,P_MANURE_1992,P_MANURE_1997,P_MANURE_2002,P_MANURE_2007,P_MANURE_2012
01011000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01013500,21.2,20.4,17.3,21.7,19.3,13.4,18.4,4.8,4.7,4.3,5.7,5.3,3.6,4.7
01015800,0.6,0.5,0.3,0.4,0.4,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1
01016500,0.6,0.5,0.5,0.6,0.5,0.4,0.5,0.1,0.1,0.1,0.2,0.1,0.1,0.1
01017000,7.0,6.7,5.6,7.1,6.4,4.4,6.1,1.6,1.6,1.4,1.9,1.7,1.2,1.6
01017060,205.7,198.0,170.7,214.5,190.5,132.5,184.0,46.9,46.0,42.5,56.7,51.8,35.2,47.1
01017290,41.2,39.7,34.1,42.8,38.2,26.6,36.7,9.4,9.2,8.5,11.3,10.4,7.1,9.4
01017550,252.1,242.6,208.8,262.4,232.9,162.0,222.5,57.5,56.4,52.0,69.3,63.4,43.1,56.9
01017960,51.2,49.3,40.0,50.2,44.7,31.1,42.6,11.7,11.4,10.0,13.3,12.2,8.3,10.9
01018000,46.7,44.9,36.4,45.7,40.7,28.3,38.8,10.6,10.4,9.1,12.1,11.1,7.5,9.9
01018009,110.0,105.8,87.6,110.1,97.8,68.0,93.5,25.1,24.6,21.8,29.1,26.6,18.1,23.9
01019000,2.2,1.8,1.6,1.7,1.6,1.8,1.7,0.4,0.3,0.3,0.3,0.3,0.4,0.3
01021200,42.8,11.9,9.0,6.9,7.5,4.2,10.7,13.8,2.7,2.1,1.6,1.8,1.0,2.6
01021470,564.9,157.2,87.4,66.9,71.0,39.2,105.6,182.6,35.4,20.7,15.3,17.4,9.1,25.5
01021480,6.4,1.8,1.4,1.1,1.2,0.7,1.8,2.1,0.4,0.3,0.3,0.3,0.2,0.4
01021500,40.0,11.1,7.0,5.3,5.8,3.2,8.5,12.9,2.5,1.7,1.2,1.4,0.7,2.1
