STAID,peak_yr1q5,peak_yrnq5,peak_yr1q6,peak_yrnq6,peak_yr1qC,peak_yrnqC,peak_yr1,peak_yrn
01011000,0,0,0,0,0,0,1932,2014
01013500,0,0,0,0,0,0,1904,2014
01015800,1958,2014,0,0,0,0,1958,2014
01016500,0,0,0,0,0,0,1952,1983
01017000,1931,2014,0,0,0,0,1931,2014
01017060,0,0,0,0,0,0,2009,2014
01017290,0,0,0,0,0,0,2009,2014
01017550,0,0,0,0,0,0,2000,2014
01017960,0,0,0,0,0,0,2003,2014
01018000,0,0,0,0,0,0,1941,2014
01018009,0,0,0,0,0,0,2009,2014
01019000,0,0,1929,2014,0,0,1929,2014
01021200,2006,2006,1956,2012,0,0,1956,2012
01021470,0,0,0,0,0,0,2001,2014
01021480,0,0,0,0,0,0,1999,2014
01021500,0,0,0,0,0,0,1906,2008
01022260,0,0,0,0,0,0,1981,2008
01022330,0,0,0,0,0,0,2003,2008
01022500,0,0,0,0,0,0,1948,2014
01023000,0,0,0,0,0,0,1909,1979
01027200,0,0,0,0,0,0,2002,2014
01029200,0,0,0,0,0,0,1998,2014
01029500,0,0,1903,2014,0,0,1903,2014
01030000,0,0,1941,1990,0,0,1941,1990
01030500,0,0,0,0,0,0,1903,2014
01031300,0,0,0,0,0,0,1996,2014
01031450,0,0,0,0,0,0,1998,2014
01031500,0,0,0,0,0,0,1903,2014
01031510,0,0,0,0,0,0,2009,2014
01033000,0,0,1925,1993,0,0,1925,1993
01033500,1920,1987,0,0,0,0,1920,1987
01034000,1925,2014,0,0,0,0,1925,2014
01034500,0,0,1902,2014,0,0,1902,2014
01035000,0,0,0,0,0,0,1916,1979
01036500,1909,1987,0,0,0,0,1909,1987
01037380,0,0,0,0,0,0,1999,2013
01038000,0,0,0,0,0,0,1939,2014
01041000,0,0,1920,1981,0,0,1920,1981
01042500,0,0,1901,2014,0,0,1901,2014
01043500,0,0,1950,1982,0,0,1940,1982
01044550,0,0,0,0,0,0,2000,2014
01045000,1904,1949,1950,1979,0,0,1904,1979
01046000,0,0,0,0,0,0,1932,2014
01046500,1908,1909,1931,2014,0,0,1908,2014
01047000,0,0,0,0,0,0,1926,2014
01047150,0,0,2010,2014,0,0,2010,2014
01047200,0,0,0,0,0,0,2009,2014
01048000,0,0,0,0,0,0,1929,2014
01048220,0,0,0,0,0,0,2008,2014
01049000,1929,2013,0,0,0,0,1929,2013
01049265,0,0,1979,2014,0,0,1979,2014
01049500,0,0,1891,2014,0,0,1891,2014
01052500,0,0,0,0,0,0,1942,2014
01053500,0,0,1906,2014,0,0,1906,2014
01053600,0,0,2009,2014,0,0,2009,2014
01054000,0,0,1913,2014,0,0,1913,2014
01054200,0,0,0,0,0,0,1959,2014
01054300,0,0,0,0,0,0,1963,2014
01054500,0,0,1893,2014,0,0,1893,2014
01055000,0,0,0,0,0,0,1930,2014
01055500,0,0,0,0,0,0,1942,2014
01057000,0,0,0,0,0,0,1914,2014
01058500,1936,1982,0,0,0,0,1936,1982
01059000,0,0,1929,2014,0,0,1929,2014
01059800,0,0,0,0,0,0,1965,2000
01060000,0,0,0,0,0,0,1950,2004
01064000,0,0,1887,2000,0,0,1887,2000
01064118,0,0,1976,1996,0,0,1976,1996
01064300,0,0,0,0,0,0,1964,2003
01064400,0,0,0,0,0,0,1964,1991
01064500,0,0,0,0,0,0,1904,2014
01064801,0,0,0,0,0,0,1993,2015
01065000,1943,1990,0,0,0,0,1943,1990
01065500,1917,1996,0,0,0,0,1917,1996
01066000,1917,2014,0,0,0,0,1917,2014
01066500,1936,1996,0,0,0,0,1936,1996
01067950,0,0,0,0,0,0,2008,2014
01068910,0,0,2007,2014,0,0,2007,2014
01069500,0,0,1940,2014,0,0,1940,2014
01069700,0,0,0,0,0,0,1964,2014
01072500,0,0,1930,1969,0,0,1930,1969
01072800,1996,2015,0,0,0,0,1996,2015
01072870,2003,2014,0,0,0,0,2003,2014
01073000,0,0,0,0,0,0,1935,2015
01073319,0,0,0,0,0,0,2008,2014
01073500,0,0,1935,2014,0,0,1935,2014
010735562,0,0,0,0,0,0,2008,2014
01073587,0,0,0,0,0,0,1996,2015
01073600,0,0,0,0,0,0,1962,2007
01073785,0,0,0,0,0,0,2002,2014
01074520,0,0,0,0,0,0,1993,2014
01075000,0,0,0,0,0,0,1940,2014
01075800,0,0,0,0,0,0,1964,2011
01076000,0,0,0,0,0,0,1927,2014
01076500,0,0,0,0,0,0,1904,2014
01077000,0,0,1940,1995,0,0,1940,1995
01077400,0,0,0,0,0,0,2008,2014
01078000,0,0,0,0,0,0,1919,2014
01081000,0,0,1937,2015,0,0,1937,2015
01081500,0,0,1904,2014,0,0,1904,2014
01082000,1946,2014,0,0,0,0,1938,2014
01083000,0,0,1921,2014,0,0,1921,2014
01084000,0,0,1925,2010,0,0,1925,2010
01084500,0,0,0,0,0,0,1946,2007
01085000,0,0,1938,2014,0,0,1938,2014
01085500,0,0,1964,2014,0,0,1964,2014
01085800,0,0,0,0,0,0,1963,2006
01086000,0,0,0,0,0,0,1938,2014
01087000,0,0,1941,2014,0,0,1919,2014
01088000,0,0,1929,1977,0,0,1929,1977
01089000,0,0,0,0,0,0,1952,1987
01089100,0,0,0,0,0,0,1989,2014
01089500,0,0,0,0,0,0,1919,2015
01090800,0,0,1964,2014,0,0,1964,2014
01091000,0,0,0,0,0,0,1941,2014
01091500,1936,1960,1961,2014,0,0,1936,2014
01092000,0,0,1936,2015,0,0,1936,2015
01093000,0,0,1938,1970,0,0,1938,1970
01093800,0,0,0,0,0,0,1963,2004
01093852,1994,2014,0,0,0,0,1994,2014
01094000,0,0,0,0,0,0,1910,2014
01094400,1973,2014,0,0,0,0,1973,2014
01094500,1936,2014,0,0,0,0,1936,2014
01095220,0,0,0,0,0,0,1994,2014
01095375,0,0,0,0,0,0,1996,2014
01095505,0,0,2008,2011,0,0,2008,2011
01096000,0,0,0,0,0,0,1950,2014
01096500,0,0,1936,2014,0,0,1936,2014
01096503,0,0,0,0,0,0,2007,2010
010965852,0,0,0,0,0,0,1987,2014
010965995,0,0,2007,2009,0,0,2007,2009
01096835,,,,,,,,
01096840,,,,,,,,
01096885,,,,,,,,
01097000,1942,2014,0,0,0,0,1942,2014
01097300,0,0,0,0,0,0,1964,2014
01097380,0,0,0,0,0,0,2006,2008
01097480,0,0,0,0,0,0,1994,2008
01098530,1998,2014,1980,1996,0,0,1980,2014
01099500,1938,2014,0,0,0,0,1938,2014
01100000,0,0,1852,2014,0,0,1852,2014
01100505,0,0,2000,2013,0,0,2000,2013
01100561,0,0,2001,2014,0,0,2001,2014
01100600,0,0,0,0,0,0,1964,2014
01100627,0,0,0,0,0,0,2007,2014
01101000,0,0,0,0,0,0,1946,2014
01101344,0,0,0,0,0,0,2007,2008
01101500,1938,2014,0,0,0,0,1938,2014
01102000,1931,2014,0,0,0,0,1931,2014
01102345,0,0,0,0,0,0,1994,2014
01102500,1940,2011,0,0,0,0,1940,2012
01103025,0,0,0,0,0,0,2007,2014
01103220,0,0,0,0,0,0,2001,2008
01103280,0,0,0,0,0,0,1998,2014
01103455,0,0,0,0,0,0,2007,2008
01103500,1938,2014,0,0,0,0,1938,2014
01104200,0,0,1960,2014,0,0,1960,2014
01104430,0,0,1998,2013,0,0,1998,2013
01104460,0,0,1998,2010,0,0,1998,2013
01104475,0,0,0,0,0,0,2004,2012
01104500,1932,2014,0,0,0,0,1932,2014
01105000,1940,2014,0,0,0,0,1938,2014
01105500,1953,2014,0,0,0,0,1953,2014
01105554,2004,2014,0,0,0,0,2004,2014
011055566,0,0,1997,2014,0,0,1997,2014
01105583,0,0,0,0,0,0,2006,2014
01105585,1973,1986,1999,2014,0,0,1973,2014
01105600,0,0,0,0,0,0,1967,2014
01105638,0,0,0,0,0,0,2006,2008
01105730,0,0,0,0,0,0,1967,2014
01105870,1967,1978,1979,2014,0,0,1967,2014
011058756,0,0,0,0,0,0,2007,2009
01105876,0,0,0,0,0,0,1971,2014
01105880,1967,2014,0,0,0,0,1967,2014
01105917,2006,2010,0,0,0,0,2006,2010
01105933,0,0,0,0,0,0,1996,2014
01106000,0,0,0,0,0,0,1941,1987
01106500,0,0,0,0,0,0,2007,2008
01108000,0,0,0,0,0,0,1930,2014
