STAID,PDEN_1990_BLOCK,PDEN_2000_BLOCK,PDEN_2010_BLOCK,HDEN_1940,HDEN_1950,HDEN_1960,HDEN_1970,HDEN_1980,HDEN_1990,HDEN_2000,HDEN_2010
01011000,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.05
01013500,1.9,1.8,1.9,0.61,0.72,1.00,1.02,1.24,1.31,1.40,1.66
01015800,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.15
01016500,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.16
01017000,0.9,0.8,0.9,0.15,0.21,0.25,0.27,0.34,0.39,0.41,0.57
01017060,9.6,8.8,8.9,3.80,4.32,5.82,5.82,7.15,7.20,7.20,3.61
01017290,13.9,3.7,4.7,1.22,1.59,1.98,1.98,2.39,2.53,2.53,2.56
01017550,22.2,24.4,22.2,3.17,4.72,6.23,6.23,8.52,10.29,10.29,10.92
01017960,7.2,7.6,8.1,1.64,2.26,3.04,3.04,3.80,4.25,4.42,4.95
01018000,6.9,7.1,7.8,1.32,1.81,2.30,2.36,3.07,3.46,3.54,4.31
01018009,41.0,38.8,35.9,11.32,14.81,17.11,17.41,20.18,21.34,21.40,16.16
01019000,0.3,0.2,0.4,0.15,0.15,0.15,0.15,0.31,0.32,0.46,1.25
01021200,2.4,2.5,2.8,0.75,0.97,1.02,1.17,1.64,1.73,2.30,2.51
01021470,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78
01021480,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31
01021500,0.2,0.2,0.3,0.07,0.09,0.09,0.09,0.20,0.20,0.26,0.59
01022260,0.3,0.3,0.3,0.10,0.24,0.23,0.23,0.50,0.50,0.73,1.24
01022330,0.2,0.2,0.3,0.00,0.17,0.17,0.17,0.39,0.39,0.57,1.15
