STAID,timber1999,timber2000,timber2001,timber2002,timber2003,timber2004,timber2005,timber2006,timber2007,timber2008,timber2009,timber2010,timber2011,timber2012
01011000,0.14,0.16,0.31,0.48,0.38,0.61,0.71,0.45,0.32,1.60,1.19,1.79,1.75,0.78
01013500,0.00,0.15,0.59,0.29,0.48,0.74,1.12,0.63,1.11,1.31,1.17,1.27,1.00,1.15
01015800,0.06,0.67,0.26,1.01,0.57,1.11,0.88,0.61,0.59,2.48,0.82,2.51,1.85,1.41
01016500,0.14,0.69,0.49,0.54,0.55,0.81,0.90,0.64,0.87,4.12,2.23,1.79,2.05,1.31
01017000,0.06,0.51,0.30,0.73,0.49,0.84,0.82,0.52,0.60,2.49,1.04,2.06,1.60,1.26
01017060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01017290,0.00,0.00,0.34,0.12,0.07,0.19,0.70,0.28,0.56,0.56,0.76,0.24,0.52,0.09
01017550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01017960,0.00,0.07,0.00,0.08,0.00,0.17,0.10,0.11,0.00,2.59,0.03,0.03,0.12,0.37
01018000,0.00,0.03,0.02,0.08,0.00,0.33,0.20,0.08,0.00,1.38,0.04,0.03,0.09,0.19
01018009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01019000,0.00,0.01,0.04,0.21,0.07,0.12,0.15,0.27,0.12,2.73,0.48,0.63,1.04,0.36
01021200,0.00,0.00,0.07,0.07,0.00,0.02,0.03,0.00,0.00,0.04,0.08,0.07,1.53,0.27
01021470,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
01021480,0.00,0.00,0.19,0.06,0.55,2.30,0.97,0.34,0.00,0.21,1.29,0.44,0.00,0.00
01021500,0.11,0.24,0.35,0.29,0.21,0.48,0.22,0.23,0.06,0.97,0.62,0.32,0.82,0.44
01022260,0.03,0.10,0.25,0.12,0.13,0.10,0.04,0.58,0.00,1.03,0.58,0.00,0.46,0.23
01022330,0.12,0.11,0.21,0.24,0.19,1.57,0.42,0.60,0.13,1.32,1.11,0.95,2.65,0.96
01022500,0.11,0.18,0.33,0.28,0.91,1.44,0.41,0.55,0.30,1.44,0.73,0.46,1.96,0.76
01023000,0.36,0.07,0.14,0.17,0.13,0.81,0.17,0.60,0.05,1.31,0.29,0.19,0.65,0.33
01027200,0.12,0.49,0.18,0.01,0.58,0.65,0.29,0.54,0.00,1.77,0.58,2.10,0.95,2.16
01029200,0.03,1.43,0.82,0.88,0.38,1.25,0.71,0.25,0.25,1.23,0.86,2.05,1.92,1.19
01029500,0.04,0.40,0.28,0.39,0.30,0.57,0.34,0.25,0.15,0.99,0.44,1.18,0.98,0.75
01030000,0.07,0.35,0.25,0.31,0.38,0.51,0.46,0.49,0.14,0.79,0.60,1.41,1.04,0.88
01030500,0.00,0.16,0.07,0.21,0.09,0.17,0.09,0.11,0.04,0.94,0.10,0.22,0.21,0.29
01031300,0.30,0.27,0.43,0.26,0.24,0.49,0.42,0.23,0.14,0.24,0.47,1.07,0.58,0.03
01031450,0.16,0.16,0.11,0.09,0.24,0.13,0.00,0.03,0.04,0.10,1.00,0.20,0.61,0.07
01031500,0.34,0.20,0.28,0.17,0.20,0.31,0.21,0.11,0.10,0.24,0.57,0.70,0.69,0.11
01031510,0.00,0.00,0.14,0.00,0.07,0.09,0.12,0.03,0.00,0.00,0.00,1.13,0.58,0.00
01033000,0.23,0.36,0.64,0.49,0.34,0.74,0.46,0.94,0.28,0.59,1.70,1.89,1.92,0.84
01033500,0.76,0.86,0.52,0.66,0.72,0.61,0.40,0.96,0.41,0.90,2.32,2.25,0.69,0.50
01034000,0.40,0.43,0.43,0.37,0.38,0.51,0.32,0.60,0.22,0.60,1.29,1.47,1.08,0.42
01034500,0.11,0.30,0.23,0.28,0.30,0.42,0.32,0.39,0.12,0.79,0.56,1.04,0.79,0.63
01035000,0.24,0.22,0.14,0.31,0.06,0.29,0.08,0.25,0.01,0.69,0.42,0.35,0.47,0.21
01036500,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.02,0.00,0.31,0.05,0.08,0.19,0.01
01037380,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01038000,0.00,0.02,0.04,0.04,0.10,0.08,0.05,0.07,0.02,0.20,0.07,0.14,0.46,0.09
01041000,0.24,0.25,0.17,0.14,0.16,0.19,0.22,0.20,0.02,0.40,0.91,1.81,1.57,0.97
01042500,0.20,0.23,0.18,0.13,0.19,0.21,0.22,0.21,0.07,0.47,0.84,1.97,1.43,1.09
01043500,0.35,0.43,0.06,0.31,0.32,0.35,0.22,0.24,0.07,0.94,0.71,0.90,0.72,1.22
01044550,0.84,0.66,0.13,0.69,1.10,2.10,0.72,1.32,0.16,3.13,2.81,1.91,2.04,0.95
01045000,0.51,0.61,0.12,0.39,0.48,0.95,0.49,0.60,0.14,1.46,1.59,1.59,1.12,1.16
01046000,0.81,0.16,0.08,0.11,0.19,0.13,0.00,0.24,0.14,0.88,1.35,1.69,2.34,2.17
01046500,0.31,0.35,0.16,0.21,0.28,0.44,0.31,0.34,0.13,0.81,1.10,1.81,1.34,1.13
01047000,0.05,0.14,0.02,0.14,0.02,0.41,0.14,0.08,0.02,0.71,0.57,0.68,1.36,1.35
01047150,0.29,0.33,0.14,0.20,0.24,0.43,0.29,0.30,0.11,0.78,1.00,1.60,1.31,1.11
01047200,0.14,0.54,0.16,0.00,0.00,0.14,0.76,0.83,0.00,1.32,1.46,0.92,0.37,1.11
01048000,0.12,0.22,0.03,0.22,0.10,0.25,0.17,0.27,0.10,0.61,0.51,0.63,0.82,0.53
01048220,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.79,0.00
01049000,0.15,0.16,0.17,0.13,0.18,0.17,0.14,0.10,0.01,0.23,0.21,0.32,0.39,0.11
01049265,0.21,0.25,0.11,0.16,0.19,0.31,0.22,0.22,0.08,0.57,0.70,1.10,0.95,0.76
01049500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.12,0.03
01052500,0.02,0.13,0.04,0.33,0.26,0.41,0.12,0.00,0.09,0.18,0.53,1.23,1.41,0.53
01053500,0.14,0.27,0.08,0.40,0.33,0.27,0.07,0.24,0.11,0.64,0.81,2.11,1.34,1.11
01053600,0.16,0.39,0.11,0.50,0.38,0.34,0.11,0.30,0.19,0.78,0.99,2.02,1.35,1.09
01054000,0.17,0.59,0.16,0.58,0.42,0.35,0.24,0.53,0.25,0.86,0.92,1.85,1.21,0.96
01054200,0.01,0.05,0.00,0.00,0.01,0.02,0.00,0.02,0.00,0.12,0.00,0.03,0.00,0.00
01054300,0.36,0.50,0.00,0.08,0.32,0.17,0.17,0.36,0.12,0.28,0.59,1.22,1.17,2.66
01054500,0.14,0.47,0.11,0.40,0.30,0.27,0.20,0.45,0.19,0.75,0.85,1.51,1.09,0.92
01055000,0.21,0.33,0.33,0.28,0.60,0.39,0.50,0.19,0.32,0.86,1.22,1.91,1.41,0.60
01055500,0.00,0.22,0.00,0.02,0.04,0.07,0.05,0.06,0.06,0.22,0.08,0.85,0.26,0.34
01057000,0.00,0.00,0.00,0.03,0.14,0.12,0.00,0.00,0.00,0.31,0.61,1.55,1.58,2.20
01058500,0.01,0.03,0.00,0.01,0.03,0.03,0.00,0.00,0.01,0.07,0.15,0.44,0.37,0.56
01059000,0.11,0.35,0.09,0.29,0.24,0.21,0.15,0.31,0.15,0.57,0.67,1.18,0.89,0.72
01059800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01060000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01064000,0.05,0.13,0.00,0.07,0.07,0.06,0.01,0.03,0.02,0.10,0.17,0.10,0.22,0.29
01064118,0.03,0.10,0.00,0.05,0.05,0.05,0.01,0.02,0.01,0.07,0.12,0.08,0.16,0.21
01064300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01064400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.41,0.00,0.00,0.00,0.00,0.00
01064500,0.05,0.09,0.15,0.13,0.11,0.17,0.26,0.21,0.23,0.19,0.17,0.23,0.10,0.08
01064801,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.26,0.34,0.19,0.00,0.03
01065000,0.04,0.05,0.10,0.02,0.21,0.06,0.05,0.02,0.03,0.38,0.31,0.35,0.29,0.19
01065500,0.03,0.05,0.08,0.03,0.17,0.05,0.08,0.03,0.03,0.30,0.30,0.26,0.38,0.26
01066000,0.05,0.06,0.08,0.07,0.14,0.11,0.13,0.11,0.12,0.21,0.27,0.28,0.34,0.24
01066500,0.00,0.02,0.01,0.00,0.04,0.05,0.11,0.03,0.01,0.03,0.00,0.00,0.15,0.17
01067950,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01068910,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01069500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01069700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01072500,0.00,0.00,0.00,0.10,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.03
01072800,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.21,0.00
01072870,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
010735562,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073587,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01073785,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01074520,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01075000,0.01,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01075800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.31,0.00,2.40
01076000,0.05,0.32,0.14,0.04,0.16,0.03,0.00,0.03,0.04,0.54,0.89,0.79,0.22,0.11
01076500,0.07,0.18,0.13,0.10,0.20,0.08,0.07,0.13,0.17,0.35,0.44,0.24,0.16,0.11
01077000,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.03,0.00,0.07,0.00,0.00,0.15
01077400,0.00,0.42,0.32,0.00,0.00,0.00,0.00,0.10,0.00,7.90,5.71,3.84,0.00,0.38
01078000,0.04,0.06,0.04,0.00,0.03,0.00,0.15,0.29,0.00,1.10,0.77,0.74,0.10,0.37
01081000,0.01,0.01,0.02,0.01,0.00,0.01,0.02,0.01,0.01,0.11,0.12,0.00,0.08,0.01
01081500,0.05,0.14,0.06,0.05,0.09,0.04,0.05,0.08,0.08,0.38,0.39,0.21,0.10,0.10
01082000,0.00,0.27,0.00,0.00,0.00,0.01,0.00,0.00,0.14,0.01,0.00,0.00,0.35,0.00
01083000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.07,0.05,0.00
01084000,0.10,0.00,0.00,0.00,0.04,0.04,0.14,0.00,0.00,0.42,0.69,0.08,0.07,0.36
01084500,0.14,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.08,0.00
01085000,0.05,0.10,0.00,0.01,0.01,0.01,0.05,0.00,0.03,0.08,0.18,0.07,0.14,0.06
01085500,0.10,0.11,0.00,0.09,0.03,0.01,0.05,0.02,0.07,0.07,0.26,0.09,0.12,0.05
01085800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01086000,0.14,0.14,0.00,0.13,0.01,0.01,0.09,0.02,0.12,0.56,0.30,0.21,0.13,0.10
01087000,0.02,0.06,0.24,0.03,0.00,0.01,0.04,0.08,0.02,0.65,0.19,0.51,0.16,0.15
01088000,0.09,0.11,0.04,0.08,0.02,0.01,0.05,0.03,0.07,0.26,0.25,0.18,0.12,0.08
01089000,0.00,0.00,0.08,0.03,0.03,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
01089100,0.00,0.00,0.07,0.03,0.03,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
01089500,0.00,0.10,0.06,0.03,0.00,0.04,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
01090800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01091000,0.00,0.09,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01091500,0.00,0.05,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01092000,0.05,0.10,0.05,0.05,0.05,0.02,0.04,0.05,0.06,0.26,0.25,0.15,0.08,0.07
01093000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01093800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
01093852,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.25,0.00,0.00,0.07,0.08
01094000,0.04,0.17,0.00,0.05,0.00,0.00,0.00,0.02,0.03,0.15,0.00,0.00,0.04,0.05
01094400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01094500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01095220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01095375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01095505,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096000,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096500,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096503,0.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
010965852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
010965995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096835,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096840,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01096885,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01097000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01097300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01097380,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01097480,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01098530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01099500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01100000,0.03,0.08,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.18,0.17,0.10,0.05,0.05
01100505,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01100561,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01100600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
