STAID,canopy2011,canopy2011_mains100
01011000,72.28,29.18
01013500,64.12,36.56
01015800,70.54,45.89
01016500,72.96,59.13
01017000,69.73,36.50
01017060,32.99,50.64
01017290,60.14,60.80
01017550,19.91,52.26
01017960,59.84,49.48
01018000,61.84,48.70
01018009,55.42,60.75
01019000,57.29,4.96
01021200,59.93,52.30
01021470,47.56,64.37
01021480,69.28,54.61
01021500,68.69,51.56
01022260,59.37,59.72
01022330,68.49,63.84
01022500,68.85,70.36
01023000,71.16,60.37
01027200,69.64,60.34
01029200,69.51,38.13
01029500,71.81,46.94
01030000,67.99,18.77
01030500,68.72,48.88
01031300,72.13,62.65
01031450,73.79,64.95
01031500,72.05,59.70
01031510,69.08,58.46
01033000,67.95,40.16
01033500,74.31,68.85
01034000,70.83,51.13
01034500,68.69,27.96
01035000,68.68,53.39
01036500,61.94,57.75
01037380,71.27,69.52
01038000,68.14,57.19
01041000,64.02,38.33
01042500,64.78,37.57
01043500,72.07,30.83
01044550,69.77,66.31
01045000,71.17,37.06
01046000,71.41,64.17
01046500,67.39,33.79
01047000,75.70,56.54
01047150,68.30,32.45
01047200,74.19,60.00
01048000,73.30,48.90
01048220,74.10,70.53
01049000,65.63,48.79
01049265,67.57,28.65
01049500,58.57,26.83
01052500,78.55,76.29
01053500,71.03,35.02
01053600,71.38,36.24
01054000,71.11,33.75
01054200,84.45,76.04
01054300,78.29,71.80
01054500,73.34,36.48
01055000,76.65,62.30
01055500,71.83,64.63
01057000,74.42,54.44
01058500,67.23,57.38
01059000,71.65,26.49
01059800,59.99,55.05
01060000,63.57,62.83
01064000,60.87,16.10
01064118,59.92,24.42
01064300,70.58,75.20
01064400,82.40,85.09
01064500,78.76,59.01
01064801,78.60,65.99
01065000,72.18,35.82
01065500,71.78,42.40
01066000,73.27,50.72
01066500,68.39,54.89
01067950,67.95,66.24
01068910,61.68,44.77
01069500,64.85,57.38
01069700,62.65,79.18
01072500,65.98,42.93
01072800,64.51,53.16
01072870,67.43,63.26
01073000,67.63,69.90
01073319,70.00,62.32
01073500,68.02,70.58
010735562,59.72,67.89
01073587,63.06,63.24
01073600,52.70,55.11
01073785,54.06,55.38
01074520,82.15,68.57
01075000,81.29,53.50
01075800,83.93,80.19
01076000,80.36,62.53
01076500,79.62,46.84
01077000,61.47,21.23
01077400,77.02,72.44
01078000,74.42,54.59
01081000,55.90,11.42
01081500,69.53,40.88
01082000,68.23,54.51
01083000,72.29,56.05
01084000,76.86,66.06
01084500,74.49,59.39
01085000,71.53,54.47
01085500,71.18,52.82
01085800,81.74,77.90
01086000,72.57,60.80
01087000,73.75,61.49
01088000,71.49,50.32
01089000,67.43,58.63
01089100,66.94,57.85
01089500,68.29,48.75
01090800,69.61,50.14
01091000,71.41,67.74
01091500,70.26,49.18
01092000,68.90,33.66
01093000,70.81,57.81
01093800,76.53,71.09
01093852,68.56,56.12
01094000,65.83,53.10
01094400,63.21,41.02
01094500,59.84,41.29
01095220,72.73,69.75
01095375,65.24,68.95
01095505,63.51,46.64
01096000,70.91,66.09
01096500,61.94,51.57
01096503,70.11,68.24
010965852,53.53,51.18
010965995,54.44,15.87
01096835,57.12,52.25
01096840,57.01,51.21
01096885,56.08,51.42
01097000,58.29,48.88
01097300,55.58,64.93
01097380,59.43,52.72
01097480,59.88,60.84
01098530,50.92,47.18
01099500,55.55,46.18
01100000,65.43,29.91
01100505,60.22,51.26
01100561,55.91,46.30
01100600,45.84,50.65
01100627,46.31,51.83
01101000,63.85,59.32
01101344,48.10,48.26
01101500,54.38,49.98
01102000,58.81,55.83
01102345,40.93,38.23
01102500,34.39,37.86
01103025,24.07,34.41
01103220,71.95,85.08
01103280,55.60,57.58
01103455,68.65,66.79
01103500,58.37,58.62
01104200,56.69,55.20
01104430,48.05,40.46
01104460,57.38,59.43
01104475,58.62,61.79
01104500,55.98,52.09
01105000,55.99,44.16
01105500,51.94,38.94
01105554,51.46,53.62
011055566,50.78,51.49
01105583,46.05,45.01
01105585,27.22,35.70
01105600,50.52,58.70
01105638,62.80,55.49
01105730,55.03,66.38
01105870,55.64,56.65
011058756,54.40,44.68
01105876,54.13,44.05
01105880,45.39,25.49
01105917,65.66,65.53
01105933,56.65,68.83
01106000,70.11,77.41
01106500,45.81,43.41
01108000,53.23,53.51
01108320,62.22,71.19
01108410,61.24,57.21
01108500,60.34,56.21
01109000,61.84,59.76
01109060,59.97,63.39
01109070,70.38,71.14
01109090,77.96,80.84
01109220,65.35,63.75
01109403,47.47,42.55
01109500,55.72,38.14
01109730,48.25,32.71
01110000,44.30,31.24
01110500,48.78,37.64
01111050,64.02,40.64
01111200,68.48,67.75
01111212,55.78,43.59
01111225,73.11,74.77
01111300,75.65,77.18
01111500,70.66,52.78
01112500,60.06,43.79
01113695,67.19,54.85
01113895,59.09,42.85
01114000,39.40,32.33
01114500,59.31,43.21
01115098,71.36,65.37
01115187,76.36,68.24
01115630,71.92,72.35
01115670,76.68,69.05
01115770,69.13,63.55
01116000,68.25,56.43
01116500,63.89,41.48
01116905,65.72,70.58
01117000,61.57,67.36
01117350,53.67,54.42
01117370,70.59,69.97
01117420,70.70,69.41
01117430,64.94,50.73
01117468,77.08,74.36
01117500,65.94,53.52
01117800,75.83,74.32
01118000,73.68,68.24
01118300,74.85,74.89
01118500,68.19,60.27
01119384,74.12,60.99
01119500,71.85,59.70
01120000,67.29,63.91
01120500,70.93,73.95
01121000,75.79,60.68
01122000,72.87,63.30
01122500,70.53,57.74
01123000,72.52,69.52
011230695,69.97,51.39
01123360,72.40,47.91
01123600,71.69,52.96
01124000,69.48,49.75
01124151,68.55,49.76
01124350,61.21,56.72
01124500,63.77,47.38
01125000,59.59,54.19
01125100,59.44,52.45
01125500,64.71,45.70
01126000,70.96,52.46
01126500,70.47,60.41
01127000,65.79,45.38
01127500,62.71,57.73
01127880,78.68,75.75
01128500,69.70,38.42
01129200,72.92,36.44
01130000,79.78,67.08
01133000,77.24,52.58
01134500,78.58,68.47
01135000,74.28,55.45
01135150,67.56,78.73
01135300,63.26,60.26
01135500,67.51,39.54
01137500,78.36,57.57
01138000,74.89,43.81
01139000,71.64,36.77
01139800,78.68,58.98
01141500,73.43,53.35
01141800,79.22,74.51
01142500,62.57,38.20
01144000,73.30,42.09
01145000,77.28,68.15
01150500,74.75,57.06
01150900,75.07,48.48
01151500,74.46,46.64
01152500,69.60,39.77
01153000,73.81,54.61
01153500,75.37,55.60
01153550,75.24,57.20
01154000,77.63,64.44
01154500,70.33,20.53
01155000,76.13,61.89
01155500,77.14,52.99
01155910,77.54,53.35
01156000,77.43,51.16
01156500,70.79,19.69
01157000,78.57,63.53
01158000,78.74,63.31
01158600,78.92,65.05
01160000,77.41,63.65
01160350,75.89,58.90
01161000,76.41,55.60
01161500,68.25,52.70
01162000,67.80,57.39
01162500,76.37,70.48
01163200,60.51,55.40
01164000,68.07,60.68
01165000,77.71,68.54
01165500,82.55,77.35
01166500,72.21,58.43
01168151,77.64,47.50
01168500,78.06,47.58
01169000,75.47,55.10
01169900,73.46,61.03
01170000,76.73,46.84
01170100,80.11,75.72
01170500,71.49,19.07
01170930,66.87,45.50
01171300,73.91,71.37
01171500,75.12,60.26
01172500,71.09,62.84
01173000,73.99,65.31
01173500,71.40,57.75
01174000,80.73,82.50
01174500,78.02,62.34
01174565,85.06,84.72
01174600,85.77,85.37
01174900,85.90,84.81
01175500,65.27,48.02
01175670,68.44,61.36
01176000,64.94,50.72
01176780,76.35,73.49
01177000,67.53,51.97
01179500,74.84,65.29
01180000,79.02,77.29
01180500,77.86,61.03
01181000,77.60,64.07
01183500,72.35,58.48
01184000,70.34,16.92
01184100,52.88,47.72
01184490,47.30,49.70
01184500,57.96,76.36
01185500,74.37,62.35
01186000,75.27,49.73
01186500,73.14,71.98
01187300,80.93,76.54
01187400,81.22,83.10
01187800,70.78,56.21
01188000,63.84,74.91
01188090,73.51,49.30
01189000,57.49,41.18
01189995,69.08,41.69
01190000,68.70,40.74
01190500,39.52,38.75
01191000,46.02,48.43
01192500,52.22,48.01
01192883,60.62,68.30
01193500,68.87,68.28
01194000,78.05,78.02
01194500,71.77,70.12
01195100,69.11,69.96
01195200,70.57,76.06
01195490,42.27,41.30
01196500,49.18,49.14
01196561,50.37,57.91
01196620,64.35,61.65
01197000,70.50,52.31
01197500,67.65,48.42
01198000,71.42,61.91
01198125,68.07,47.80
01198500,68.80,49.10
01199000,68.76,35.27
01199050,68.10,53.06
01199200,76.26,75.13
01200000,55.92,44.72
01200500,67.01,43.07
01201487,51.33,34.82
01202501,68.70,63.90
012035055,62.86,66.22
01203510,59.23,64.14
01203600,49.96,52.10
01203805,63.14,57.84
01204000,60.01,49.48
01205500,64.98,30.35
01205600,71.78,49.36
01205700,61.36,55.48
01206900,67.11,47.30
01208500,60.09,39.54
01208873,34.78,38.26
01208925,60.45,47.38
01208950,61.74,70.71
01208990,71.94,69.83
012095493,61.38,73.80
01209700,65.84,49.25
01209761,62.18,66.64
01209901,63.66,54.82
01300000,36.53,45.92
01300500,33.81,29.83
01301000,42.72,37.25
01301500,37.75,45.90
01302000,43.16,47.61
01302020,38.07,44.64
01302500,39.77,35.97
01303000,55.55,58.74
01303500,52.36,68.99
01304000,39.78,51.57
01304500,50.72,59.64
01305000,43.58,63.26
01305500,37.76,41.03
01306000,33.77,31.60
01306440,37.00,73.51
01306460,36.42,77.22
01306500,38.40,69.54
01307000,21.03,39.77
01307500,17.30,18.98
01308000,31.54,25.51
01308500,34.21,44.15
01309000,9.82,19.25
01309500,27.50,60.07
01309950,6.79,26.71
01310000,6.75,26.13
01310500,23.70,36.37
01311000,16.95,24.75
01311500,6.73,19.97
01311810,5.84,12.66
01312000,76.75,55.03
01315000,75.87,45.07
01315500,77.86,48.59
01317000,75.55,46.78
01318500,76.68,42.70
01319000,82.30,67.74
01321000,79.39,42.38
01325000,75.09,25.39
01327750,75.68,36.14
01328000,34.28,51.41
01329000,75.79,47.70
01329490,67.47,45.46
01329500,67.74,45.45
01330000,64.99,64.84
01330500,69.25,66.40
01331095,70.89,31.48
01331500,69.24,39.55
01332000,77.76,54.53
01332500,71.43,34.51
01333000,73.24,58.17
01333500,76.39,44.77
01334000,70.30,49.06
01334500,68.90,37.85
01335754,69.04,29.68
01336000,55.21,37.29
01343060,79.21,56.30
01346000,65.18,38.37
01347000,49.37,29.36
01348000,71.92,55.96
01349000,25.60,37.78
01349150,28.74,28.47
01349700,75.61,56.80
01349705,75.27,53.40
01349711,83.07,83.44
01349810,79.74,56.79
01349840,84.65,84.45
01349950,69.17,43.88
01350000,72.56,48.15
01350035,59.23,31.12
01350080,68.42,29.73
01350101,70.27,40.96
01350120,64.87,58.78
01350140,66.43,59.65
01350180,69.49,39.16
01350355,69.63,39.33
01351500,60.93,34.93
01356190,45.09,56.83
01357500,52.15,21.46
01358000,61.80,28.92
01359750,47.06,51.07
01360640,63.64,53.49
01361500,67.02,58.94
013621955,79.21,66.11
01362198,82.33,62.64
01362200,82.54,62.52
0136230002,83.49,74.52
01362370,83.36,67.57
01362497,80.19,70.27
01362500,82.37,58.35
01363382,84.59,74.97
01364500,74.21,46.60
01364959,84.25,84.27
01365000,82.54,73.42
01365500,67.11,48.24
01366650,73.31,56.99
01367500,71.66,44.45
01367800,38.01,36.25
01368000,48.29,42.84
01369000,55.52,31.88
01369500,41.00,31.86
01371500,48.14,40.68
01372058,60.56,19.55
01372500,58.76,50.60
0137449480,66.86,60.20
01374505,64.70,57.23
01374531,64.14,53.90
01374559,78.37,61.38
01374581,75.86,43.39
01374598,75.72,77.28
0137462010,71.52,32.99
01374654,67.42,50.77
01374701,66.84,36.10
01374781,61.93,62.95
01374821,62.09,45.75
01374890,72.43,78.22
01374901,68.33,45.74
01374918,68.62,72.61
01374930,54.99,59.46
01374941,53.05,47.83
01374987,63.66,61.02
0137499350,64.02,68.18
01375000,64.12,37.58
01376500,48.39,41.16
01376800,45.53,41.94
01377000,43.13,38.91
01377370,35.15,41.57
01377500,36.91,39.45
01378500,42.24,36.16
01379000,61.27,71.24
01379500,58.35,68.85
01379530,48.58,53.52
01379773,61.03,69.13
01379780,58.90,53.27
01379790,59.23,51.26
01380500,63.36,54.36
01381000,62.39,52.33
01381400,70.19,72.04
01381500,59.64,60.46
01381800,47.70,52.98
01381900,55.84,65.15
01382170,77.72,66.70
01382500,74.41,52.88
01383500,62.06,39.83
01384000,66.39,40.25
01384500,74.37,64.38
01386000,72.38,61.89
01387400,67.48,43.80
01387420,67.36,42.81
01387450,65.40,58.47
01387500,64.10,42.49
01388000,62.11,42.58
01388500,65.38,52.74
01389500,59.55,62.82
01389550,43.02,40.06
01389890,57.88,54.92
01390450,47.99,49.82
01390500,48.43,53.31
01391000,42.51,45.67
01391500,40.94,52.63
01392210,29.70,30.27
01393450,16.67,31.75
01393500,16.29,29.39
01394500,40.52,46.33
01395000,38.50,47.87
01396000,39.23,43.72
01396091,53.59,32.02
01396190,55.45,61.37
01396500,56.28,61.78
01396580,57.21,65.72
01396582,57.28,65.38
01396660,54.53,52.46
01396800,55.04,34.26
01397000,50.69,59.05
01398000,27.71,45.14
01398500,62.41,62.55
01399100,31.80,50.47
01399500,55.92,69.55
01399510,47.63,66.94
01399670,44.92,49.87
01400000,48.97,59.96
01400500,43.72,50.55
01401000,51.08,61.09
01401650,43.13,48.01
01402000,40.43,56.77
01402600,17.02,14.54
01403060,42.01,49.71
01403150,58.55,62.90
01403400,62.11,51.58
01403500,49.63,40.61
01403535,69.60,63.00
01403540,64.43,57.13
01403900,40.46,45.94
01405000,38.08,48.93
01405030,35.58,47.10
01405400,40.75,60.82
01405500,42.62,59.27
01406050,48.54,59.01
01407290,37.94,55.50
01407500,38.89,40.43
01407705,48.02,69.72
01407760,33.90,56.14
01408000,38.96,68.71
01408029,45.04,70.83
01408120,47.42,66.39
01408500,51.70,73.61
01409000,58.80,66.50
01409280,31.63,44.71
01409400,60.40,61.11
01409500,61.65,69.89
01409810,58.00,61.98
01410000,54.73,58.65
01410150,60.54,60.74
01410500,43.28,47.92
01411000,50.68,74.21
01411300,73.39,79.55
01411456,52.91,79.81
