site_no,tau,sl,S,D,varS
01011000,    0.1036735,    0.2918956,  127.0000000, 1225.0000000,14291.6669922
01013500,    0.09877551,    0.31548333,  121.00000000, 1225.00000000,14291.66699219
01017000,    0.1591837,    0.1046360,  195.0000000, 1225.0000000,14291.6669922
01019000,   -0.16734694,    0.08792788, -205.00000000, 1225.00000000,14291.66699219
01022500,    0.24571429,    0.01209164,  301.00000000, 1225.00000000,14291.66699219
01030500,    0.2081633,    0.0336138,  255.0000000, 1225.0000000,14291.6669922
01031500,    0.18857142,    0.05436492,  231.00000000, 1225.00000000,14291.66699219
01034500,    0.1330612,    0.1753834,  163.0000000, 1225.0000000,14291.6669922
01038000,   -0.07755102,    0.43169373,  -95.00000000, 1225.00000000,14291.66699219
01042500,   -0.64734691381454468,    0.00000000003473253, -793.00000000000000000, 1225.00000000000000000,14291.66699218750000000
01046500,    0.18040816,    0.06572878,  221.00000000, 1225.00000000,14291.66699219
01047000,    0.22122449,    0.02391374,  271.00000000, 1225.00000000,14291.66699219
01052500,    0.39428570867,    0.00005531311,  483.00000000000, 1225.00000000000,14291.66699218750
01053500,    0.0677551,    0.4927646,   83.0000000, 1225.0000000,14291.6669922
01054000,    0.3485714197,    0.0003660917,  427.0000000000, 1225.0000000000,14291.6669921875
01054200,    0.21142857,    0.03091753,  259.00000000, 1225.00000000,14291.66699219
01054500,    0.18693878,    0.05649626,  229.00000000, 1225.00000000,14291.66699219
01055000,    0.20326531,    0.03803432,  249.00000000, 1225.00000000,14291.66699219
01057000,    0.1297959,    0.1862856,  159.0000000, 1225.0000000,14291.6669922
01059000,   -0.23428571,    0.01674091, -287.00000000, 1225.00000000,14291.66699219
01064500,    0.1151020,    0.2415667,  141.0000000, 1225.0000000,14291.6669922
01066000,    0.03673469,    0.71283317,   45.00000000, 1225.00000000,14291.66699219
01073000,    0.1477551,    0.1321508,  181.0000000, 1225.0000000,14291.6669922
01073500,    0.07755102,    0.43169379,   95.00000000, 1225.00000000,14291.66699219
01076500,    0.21795918,    0.02607775,  267.00000000, 1225.00000000,14291.66699219
01078000,    0.05632653,    0.56948483,   69.00000000, 1225.00000000,14291.66699219
01081000,   -0.02530612,    0.80185604,  -31.00000000, 1225.00000000,14291.66699219
01092000,    0.05306122,    0.59240723,   65.00000000, 1225.00000000,14291.66699219
01094500,    0.1461225,    0.1365019,  179.0000000, 1225.0000000,14291.6669922
01096000,   -0.01387755,    0.89353091,  -17.00000000, 1225.00000000,14291.66699219
01096500,   -0.435102045536,    0.000008582858, -533.000000000000, 1225.000000000000,14291.666992187500
01097000,    0.3469387889,    0.0003900528,  425.0000000000, 1225.0000000000,14291.6669921875
01097300,    0.3355101943,    0.0006045103,  411.0000000000, 1225.0000000000,14291.6669921875
01099500,    0.2408163,    0.0139221,  295.0000000, 1225.0000000,14291.6669922
01100000,   -0.02204082,    0.82782936,  -27.00000000, 1225.00000000,14291.66699219
01100600,    0.03020408,    0.76331162,   37.00000000, 1225.00000000,14291.66699219
01101000,    0.39591836929,    0.00005149841,  485.00000000000, 1225.00000000000,14291.66699218750
01102000,    0.05469388,    0.58089304,   67.00000000, 1225.00000000,14291.66699219
01102500,   -0.0122449,    0.9067745,  -15.0000000, 1225.0000000,14291.6669922
01103500,    0.02367347,    0.81481719,   29.00000000, 1225.00000000,14291.66699219
01104200,   -0.22122449,    0.02391379, -271.00000000, 1225.00000000,14291.66699219
01104500,   -0.22285715,    0.02289145, -273.00000000, 1225.00000000,14291.66699219
01105000,    0.1216327,    0.2157165,  149.0000000, 1225.0000000,14291.6669922
01105500,    0.28326529,    0.00380075,  347.00000000, 1225.00000000,14291.66699219
01105600,    0.252244890,    0.009984136,  309.000000000, 1225.000000000,14291.666992188
01105730,   -0.004081632,    0.973308206,   -5.000000000, 1225.000000000,14291.666992188
01109000,    0.1085714,    0.2695231,  133.0000000, 1225.0000000,14291.6669922
01109060,    0.1216327,    0.2157165,  149.0000000, 1225.0000000,14291.6669922
01110000,    0.307755113,    0.001659751,  377.000000000, 1225.000000000,14291.666992188
01111500,    0.03183673,    0.75058770,   39.00000000, 1225.00000000,14291.66699219
01112500,    0.02040816,    0.84088898,   25.00000000, 1225.00000000,14291.66699219
01114500,    0.1134694,    0.2483566,  139.0000000, 1225.0000000,14291.6669922
01116000,   -0.340408176,    0.000501824, -417.000000000, 1225.000000000,14291.666992188
01117000,    0.1151020,    0.2415667,  141.0000000, 1225.0000000,14291.6669922
01117500,    0.443265318871,    0.000005841255,  543.000000000000, 1225.000000000000,14291.666992187500
01118000,    0.1118367,    0.2552788,  137.0000000, 1225.0000000,14291.6669922
01118300,    0.03673469,    0.71283317,   45.00000000, 1225.00000000,14291.66699219
01118500,    0.3289795816,    0.0007718801,  403.0000000000, 1225.0000000000,14291.6669921875
01119500,   -0.1379592,    0.1599333, -169.0000000, 1225.0000000,14291.6669922
01121000,   -0.1444898,    0.1409628, -177.0000000, 1225.0000000,14291.6669922
01122500,   -0.07755102,    0.43169373,  -95.00000000, 1225.00000000,14291.66699219
01123000,    0.04979592,    0.61574388,   61.00000000, 1225.00000000,14291.66699219
01129200,    0.24897960,    0.01099312,  305.00000000, 1225.00000000,14291.66699219
01134500,    0.309387743,    0.001567364,  379.000000000, 1225.000000000,14291.666992188
01135500,    0.1363265,    0.1649647,  167.0000000, 1225.0000000,14291.6669922
01137500,    0.1330612,    0.1753834,  163.0000000, 1225.0000000,14291.6669922
01139000,    0.281632662,    0.004008293,  345.000000000, 1225.000000000,14291.666992188
01139800,    0.1151020,    0.2415667,  141.0000000, 1225.0000000,14291.6669922
01144000,    0.1281633,    0.1919209,  157.0000000, 1225.0000000,14291.6669922
01151500,    0.16734694,    0.08792782,  205.00000000, 1225.00000000,14291.66699219
01152500,    0.06122449,    0.53591669,   75.00000000, 1225.00000000,14291.66699219
01154500,   -0.08081633,    0.41235518,  -99.00000000, 1225.00000000,14291.66699219
01161000,    0.09714286,    0.32361650,  119.00000000, 1225.00000000,14291.66699219
01162000,   -0.03183673,    0.75058764,  -39.00000000, 1225.00000000,14291.66699219
01162500,   -0.007346939,    0.946646273,   -9.000000000, 1225.000000000,14291.666992188
01163200,    0.09387755,    0.34028935,  115.00000000, 1225.00000000,14291.66699219
01166500,   -0.04489796,    0.65148342,  -55.00000000, 1225.00000000,14291.66699219
01169000,   -0.1428571,    0.1455350, -175.0000000, 1225.0000000,14291.6669922
01169900,   -0.06612245,    0.50337517,  -81.00000000, 1225.00000000,14291.66699219
01170100,   -0.0644898,    0.5141052,  -79.0000000, 1225.0000000,14291.6669922
01170500,    0.08244898,    0.40288162,  101.00000000, 1225.00000000,14291.66699219
01171500,    0.1183673,    0.2283810,  145.0000000, 1225.0000000,14291.6669922
01173500,   -0.253877550,    0.009511351, -311.000000000, 1225.000000000,14291.666992188
01174500,   -0.16244897,    0.09767286, -199.00000000, 1225.00000000,14291.66699219
01177000,   -0.23918368,    0.01458437, -293.00000000, 1225.00000000,14291.66699219
01181000,   -0.1542857,    0.1158130, -189.0000000, 1225.0000000,14291.6669922
01183500,    0.05306122,    0.59240723,   65.00000000, 1225.00000000,14291.66699219
01184000,    0.1542857,    0.1158130,  189.0000000, 1225.0000000,14291.6669922
01185500,   -0.1346939,    0.1701143, -165.0000000, 1225.0000000,14291.6669922
01187300,   -0.0155102,    0.8803170,  -19.0000000, 1225.0000000,14291.6669922
01196500,    0.04489796,    0.65148342,   55.00000000, 1225.00000000,14291.66699219
01197000,   -0.07755102,    0.43169373,  -95.00000000, 1225.00000000,14291.66699219
01197500,    0.04653061,    0.63947558,   57.00000000, 1225.00000000,14291.66699219
01200500,   -0.1395918,    0.1550188, -171.0000000, 1225.0000000,14291.6669922
01205500,   -0.42204082012,    0.00001586903, -517.00000000000, 1225.00000000000,14291.66699218750
01208500,    0.2048980,    0.0365088,  251.0000000, 1225.0000000,14291.6669922
01208990,   -0.07428572,    0.45154774,  -91.00000000, 1225.00000000,14291.66699219
01209700,   -0.08897959,    0.36631119, -109.00000000, 1225.00000000,14291.66699219
01305000,   -0.21469387,    0.02840893, -263.00000000, 1225.00000000,14291.66699219
01305500,   -0.5167347192764,    0.0000001246175, -633.0000000000000, 1225.0000000000000,14291.6669921875000
01311500,   -0.7061224579811096191,    0.0000000000004929183, -865.0000000000000000000, 1225.0000000000000000000,14291.6669921875000000000
01315000,   -0.1134694,    0.2483565, -139.0000000, 1225.0000000,14291.6669922
01315500,    0.21959184,    0.02497542,  269.00000000, 1225.00000000,14291.66699219
01318500,    0.1102041,    0.2623343,  135.0000000, 1225.0000000,14291.6669922
01321000,    0.1379592,    0.1599332,  169.0000000, 1225.0000000,14291.6669922
01325000,   -0.4155102074,    0.0000214394, -509.0000000000, 1225.0000000000,14291.6669921875
01331500,   -0.05795918,    0.55818462,  -71.00000000, 1225.00000000,14291.66699219
01332500,    0.06938776,    0.48227501,   85.00000000, 1225.00000000,14291.66699219
01333000,   -0.2032653,    0.0380343, -249.0000000, 1225.0000000,14291.6669922
01334000,   -0.02367347,    0.81481725,  -29.00000000, 1225.00000000,14291.66699219
01334500,   -0.1053061,    0.2843035, -129.0000000, 1225.0000000,14291.6669922
01336000,    0.120000,    0.221984,  147.000000, 1225.000000,14291.666992
01346000,    0.005714286,    0.959971666,    7.000000000, 1225.000000000,14291.666992188
01347000,    0.04816326,    0.62756157,   59.00000000, 1225.00000000,14291.66699219
01350000,   -0.08897959,    0.36631119, -109.00000000, 1225.00000000,14291.66699219
01351500,   -0.257142872,    0.008625146, -315.000000000, 1225.000000000,14291.666992188
01357500,    0.03346939,    0.73793113,   41.00000000, 1225.00000000,14291.66699219
01362200,   -0.1297959,    0.1862856, -159.0000000, 1225.0000000,14291.6669922
01362500,    0.0155102,    0.8803170,   19.0000000, 1225.0000000,14291.6669922
01365000,   -0.0122449,    0.9067745,  -15.0000000, 1225.0000000,14291.6669922
01371500,    0.01061224,    0.92004395,   13.00000000, 1225.00000000,14291.66699219
01372500,   -0.1265306,    0.1976805, -155.0000000, 1225.0000000,14291.6669922
01375000,   -0.16571428,    0.09108514, -203.00000000, 1225.00000000,14291.66699219
01376800,    0.19346939,    0.04836965,  237.00000000, 1225.00000000,14291.66699219
01377000,   -0.05795918,    0.55818462,  -71.00000000, 1225.00000000,14291.66699219
01377500,    0.1575510,    0.1082623,  193.0000000, 1225.0000000,14291.6669922
01378500,   -0.268571436,    0.006075596, -329.000000000, 1225.000000000,14291.666992188
01379000,   -0.41714286804,    0.00001989397, -511.00000000000, 1225.00000000000,14291.66699218750
01379500,   -0.4906122386456,    0.0000005196422, -601.0000000000000, 1225.0000000000000,14291.6669921875000
01381000,   -0.17061225,    0.08187826, -209.00000000, 1225.00000000,14291.66699219
01381500,    0.263673455,    0.007070899,  323.000000000, 1225.000000000,14291.666992188
01383500,   -0.268571436,    0.006075596, -329.000000000, 1225.000000000,14291.666992188
01387500,   -0.0122449,    0.9067745,  -15.0000000, 1225.0000000,14291.6669922
01388000,   -0.1297959,    0.1862856, -159.0000000, 1225.0000000,14291.6669922
01388500,   -0.120000,    0.221984, -147.000000, 1225.000000,14291.666992
01389500,   -0.1542857,    0.1158130, -189.0000000, 1225.0000000,14291.6669922
01391500,   -0.1330612,    0.1753835, -163.0000000, 1225.0000000,14291.6669922
01393450,   -0.08571429,    0.38433033, -105.00000000, 1225.00000000,14291.66699219
01394500,   -0.38938775659,    0.00006843209, -477.00000000000, 1225.00000000000,14291.66699218750
01395000,   -0.4906122386456,    0.0000005196422, -601.0000000000000, 1225.0000000000000,14291.6669921875000
01396500,    0.18204081,    0.06331134,  223.00000000, 1225.00000000,14291.66699219
01397000,   -0.03510204,    0.72534525,  -43.00000000, 1225.00000000,14291.66699219
01398000,    0.008979592,    0.933335781,   11.000000000, 1225.000000000,14291.666992188
01399500,   -0.02204082,    0.82782936,  -27.00000000, 1225.00000000,14291.66699219
01400000,    0.05632653,    0.56948483,   69.00000000, 1225.00000000,14291.66699219
01400500,   -0.02040816,    0.84088892,  -25.00000000, 1225.00000000,14291.66699219
01401000,    0.09061225,    0.35750246,  111.00000000, 1225.00000000,14291.66699219
01402000,   -0.08408163,    0.39353979, -103.00000000, 1225.00000000,14291.66699219
01403060,   -0.1004082,    0.3074854, -123.0000000, 1225.0000000,14291.6669922
01405400,    0.252244890,    0.009984136,  309.000000000, 1225.000000000,14291.666992188
01407500,    0.1444898,    0.1409628,  177.0000000, 1225.0000000,14291.6669922
01407705,    0.007346939,    0.946646214,    9.000000000, 1225.000000000,14291.666992188
01407760,    0.08244898,    0.40288162,  101.00000000, 1225.00000000,14291.66699219
01408000,    0.296326518,    0.002461195,  363.000000000, 1225.000000000,14291.666992188
01408500,    0.19346939,    0.04836965,  237.00000000, 1225.00000000,14291.66699219
01409400,   -0.22938776,    0.01917249, -281.00000000, 1225.00000000,14291.66699219
01410000,    0.03510204,    0.72534525,   43.00000000, 1225.00000000,14291.66699219
01411000,    0.284897953,    0.003603101,  349.000000000, 1225.000000000,14291.666992188
01411500,    0.1444898,    0.1409628,  177.0000000, 1225.0000000,14291.6669922
01413500,   -0.17224489,    0.07898258, -211.00000000, 1225.00000000,14291.66699219
01414500,    0.05142857,    0.60402489,   63.00000000, 1225.00000000,14291.66699219
01415000,   -0.1183673,    0.2283810, -145.0000000, 1225.0000000,14291.6669922
01417000,   -0.20653062,    0.03503581, -253.00000000, 1225.00000000,14291.66699219
01420500,   -0.008979592,    0.933335841,  -11.000000000, 1225.000000000,14291.666992188
01421000,   -0.1461225,    0.1365020, -179.0000000, 1225.0000000,14291.6669922
01423000,   -0.2163265,    0.0272218, -265.0000000, 1225.0000000,14291.6669922
01425000,   -0.5167347192764,    0.0000001246175, -633.0000000000000, 1225.0000000000000,14291.6669921875000
01426500,   -0.3763265312,    0.0001191665, -461.0000000000, 1225.0000000000,14291.6669921875
01428500,   -0.17877550,    0.06822179, -219.00000000, 1225.00000000,14291.66699219
01429000,   -0.03510204,    0.72534525,  -43.00000000, 1225.00000000,14291.66699219
01429500,    0.05306122,    0.59240723,   65.00000000, 1225.00000000,14291.66699219
01431500,    0.05142857,    0.60402489,   63.00000000, 1225.00000000,14291.66699219
01434000,   -0.1575510,    0.1082623, -193.0000000, 1225.0000000,14291.6669922
01435000,   -0.08734694,    0.37525392, -107.00000000, 1225.00000000,14291.66699219
01436000,    0.03346939,    0.73793113,   41.00000000, 1225.00000000,14291.66699219
01437500,   -0.05795918,    0.55818462,  -71.00000000, 1225.00000000,14291.66699219
01438500,   -0.17224489,    0.07898258, -211.00000000, 1225.00000000,14291.66699219
01439500,   -0.06122449,    0.53591669,  -75.00000000, 1225.00000000,14291.66699219
01440000,   -0.00244898,    0.98665226,   -3.00000000, 1225.00000000,14291.66699219
01440400,   -0.06122449,    0.53591669,  -75.00000000, 1225.00000000,14291.66699219
01442500,    0.08081633,    0.41235518,   99.00000000, 1225.00000000,14291.66699219
01443900,   -0.120000,    0.221984, -147.000000, 1225.000000,14291.666992
01445500,    0.04326531,    0.66358232,   53.00000000, 1225.00000000,14291.66699219
01446500,   -0.1804082,    0.0657288, -221.0000000, 1225.0000000,14291.6669922
01447500,   -0.08571429,    0.38433033, -105.00000000, 1225.00000000,14291.66699219
01447680,    0.03673469,    0.71283317,   45.00000000, 1225.00000000,14291.66699219
01447720,   -0.03183673,    0.75058764,  -39.00000000, 1225.00000000,14291.66699219
01447800,    0.09877551,    0.31548333,  121.00000000, 1225.00000000,14291.66699219
01449360,    0.1053061,    0.2843035,  129.0000000, 1225.0000000,14291.6669922
01449800,    0.18040816,    0.06572878,  221.00000000, 1225.00000000,14291.66699219
01450500,    0.08244898,    0.40288162,  101.00000000, 1225.00000000,14291.66699219
01451000,   -0.1510204,    0.1237717, -185.0000000, 1225.0000000,14291.6669922
01451500,    0.253877550,    0.009511352,  311.000000000, 1225.000000000,14291.666992188
01451800,   -0.01714286,    0.86713624,  -21.00000000, 1225.00000000,14291.66699219
01452000,   -0.1216327,    0.2157165, -149.0000000, 1225.0000000,14291.6669922
01452500,    0.278367341,    0.004454374,  341.000000000, 1225.000000000,14291.666992188
01453000,   -0.04489796,    0.65148342,  -55.00000000, 1225.00000000,14291.66699219
01457000,    0.05142857,    0.60402489,   63.00000000, 1225.00000000,14291.66699219
01459500,    0.03836735,    0.70039785,   47.00000000, 1225.00000000,14291.66699219
01463500,   -0.1248980,    0.2035656, -153.0000000, 1225.0000000,14291.6669922
01464000,    0.01387755,    0.89353085,   17.00000000, 1225.00000000,14291.66699219
01464500,    0.1559184,    0.1119875,  191.0000000, 1225.0000000,14291.6669922
01465798,    0.06612245,    0.50337517,   81.00000000, 1225.00000000,14291.66699219
01466500,   -0.23428571,    0.01674091, -287.00000000, 1225.00000000,14291.66699219
01467000,   -0.01877551,    0.85399234,  -23.00000000, 1225.00000000,14291.66699219
01467048,    0.03020408,    0.76331162,   37.00000000, 1225.00000000,14291.66699219
01467150,    0.3795918226,    0.0001039505,  465.0000000000, 1225.0000000000,14291.6669921875
01469500,   -0.22775510,    0.02004896, -279.00000000, 1225.00000000,14291.66699219
01470500,   -0.06938776,    0.48227507,  -85.00000000, 1225.00000000,14291.66699219
01470960,   -0.1804082,    0.0657288, -221.0000000, 1225.0000000,14291.6669922
01471000,   -0.1053061,    0.2843035, -129.0000000, 1225.0000000,14291.6669922
01472000,   -0.1297959,    0.1862856, -159.0000000, 1225.0000000,14291.6669922
01472157,    0.02693878,    0.78894913,   33.00000000, 1225.00000000,14291.66699219
01473000,    0.01877551,    0.85399234,   23.00000000, 1225.00000000,14291.66699219
01474000,   -0.03836735,    0.70039785,  -47.00000000, 1225.00000000,14291.66699219
01474500,   -0.06938776,    0.48227507,  -85.00000000, 1225.00000000,14291.66699219
01477120,    0.1297959,    0.1862856,  159.0000000, 1225.0000000,14291.6669922
01477800,   -0.02040816,    0.84088892,  -25.00000000, 1225.00000000,14291.66699219
01478000,   -0.21959184,    0.02497547, -269.00000000, 1225.00000000,14291.66699219
01479000,   -0.0008163265,    1.0000000000,   -1.0000000000, 1225.0000000000,14291.6669921875
01480000,    0.1134694,    0.2483566,  139.0000000, 1225.0000000,14291.6669922
01480300,    0.0644898,    0.5141052,   79.0000000, 1225.0000000,14291.6669922
01480675,    0.16408163,    0.09433293,  201.00000000, 1225.00000000,14291.66699219
01480700,   -0.06938776,    0.48227507,  -85.00000000, 1225.00000000,14291.66699219
01481000,    0.1053061,    0.2843035,  129.0000000, 1225.0000000,14291.6669922
01481500,    0.08734694,    0.37525392,  107.00000000, 1225.00000000,14291.66699219
01483200,   -0.0644898,    0.5141052,  -79.0000000, 1225.0000000,14291.6669922
01483700,    0.26693878,    0.00639236,  327.00000000, 1225.00000000,14291.66699219
01484100,    0.307755113,    0.001659751,  377.000000000, 1225.000000000,14291.666992188
01485500,    0.19183673,    0.05030322,  235.00000000, 1225.00000000,14291.66699219
01487000,   -0.01877551,    0.85399234,  -23.00000000, 1225.00000000,14291.66699219
01491000,    0.1183673,    0.2283810,  145.0000000, 1225.0000000,14291.6669922
01495000,   -0.05469388,    0.58089310,  -67.00000000, 1225.00000000,14291.66699219
01500000,   -0.366530627,    0.000178637, -449.000000000, 1225.000000000,14291.666992188
01503000,    0.02530612,    0.80185604,   31.00000000, 1225.00000000,14291.66699219
01510000,    0.1036735,    0.2918956,  127.0000000, 1225.0000000,14291.6669922
01512500,    0.296326518,    0.002461195,  363.000000000, 1225.000000000,14291.666992188
01516500,    0.08244898,    0.40288162,  101.00000000, 1225.00000000,14291.66699219
01518000,   -0.479183673859,    0.000000949592, -587.000000000000, 1225.000000000000,14291.666992187500
01520000,   -0.3257142901,    0.0008709164, -399.0000000000, 1225.0000000000,14291.6669921875
01521500,    0.1069388,    0.2768462,  131.0000000, 1225.0000000,14291.6669922
01523500,   -0.05306122,    0.59240723,  -65.00000000, 1225.00000000,14291.66699219
01524500,   -0.1102041,    0.2623343, -135.0000000, 1225.0000000,14291.6669922
01526500,   -0.3779591918,    0.0001112877, -463.0000000000, 1225.0000000000,14291.6669921875
01529500,   -0.0122449,    0.9067745,  -15.0000000, 1225.0000000,14291.6669922
01531000,   -0.17714286,    0.07079202, -217.00000000, 1225.00000000,14291.66699219
01531500,   -0.05306122,    0.59240723,  -65.00000000, 1225.00000000,14291.66699219
01532000,   -0.04326531,    0.66358232,  -53.00000000, 1225.00000000,14291.66699219
01534000,   -0.1118367,    0.2552789, -137.0000000, 1225.0000000,14291.6669922
01534300,    0.07591837,    0.44155693,   93.00000000, 1225.00000000,14291.66699219
01534500,    0.06938776,    0.48227501,   85.00000000, 1225.00000000,14291.66699219
01536000,    0.1232653,    0.2095773,  151.0000000, 1225.0000000,14291.6669922
01536500,   -0.02204082,    0.82782936,  -27.00000000, 1225.00000000,14291.66699219
01538000,   -0.0122449,    0.9067745,  -15.0000000, 1225.0000000,14291.6669922
01539000,    0.03510204,    0.72534525,   43.00000000, 1225.00000000,14291.66699219
01540500,   -0.1020408,    0.2996229, -125.0000000, 1225.0000000,14291.6669922
01541000,   -0.05632653,    0.56948483,  -69.00000000, 1225.00000000,14291.66699219
01541200,   -0.05142857,    0.60402489,  -63.00000000, 1225.00000000,14291.66699219
01541500,   -0.06612245,    0.50337517,  -81.00000000, 1225.00000000,14291.66699219
01542810,   -0.08081633,    0.41235518,  -99.00000000, 1225.00000000,14291.66699219
01543000,    0.04163265,    0.67576957,   51.00000000, 1225.00000000,14291.66699219
01543500,   -0.02204082,    0.82782936,  -27.00000000, 1225.00000000,14291.66699219
01544000,   -0.07102041,    0.47190821,  -87.00000000, 1225.00000000,14291.66699219
01544500,   -0.21795918,    0.02607773, -267.00000000, 1225.00000000,14291.66699219
01545000,   -0.19510204,    0.04649891, -239.00000000, 1225.00000000,14291.66699219
01545500,    0.008979592,    0.933335781,   11.000000000, 1225.000000000,14291.666992188
01545600,   -0.1265306,    0.1976805, -155.0000000, 1225.0000000,14291.6669922
01546500,    0.008979592,    0.933335781,   11.000000000, 1225.000000000,14291.666992188
01547100,   -0.1297959,    0.1862856, -159.0000000, 1225.0000000,14291.6669922
