site_no,rbiValue_1970,rbiValue_2020,tau,sl,S,D,varS,estimates.Sen's slope,statistic.z,p.value,null.value.z,alternative,method,parameter.n,conf.int1,conf.int2,binary_pvalue,slope_greater0,highlight
01011000,0.105284889120045,0.116272614681875,0.103673473000526,0.291895627975464,127,1225,14291.6669921875,1.47956249084631e-4,1.05397207878442,0.291895700594215,0,two.sided,Sen's slope,50,-1.66748286491765e-4,4.64112215211619e-4,non-significant,true,true
01013500,0.055096511013347,0.0528153417912879,0.0987755134701729,0.315483331680298,121,1225,14291.6669921875,6.0570776990617e-5,1.00378293217563,0.315483252916377,0,two.sided,Sen's slope,50,-8.31118676900155e-5,2.14614314012967e-4,non-significant,true,true
01017000,0.108985063524491,0.125410151150503,0.159183666110039,0.104635953903198,195,1225,14291.6669921875,2.67013240586467e-4,1.62278240701728,0.104635927875791,0,two.sided,Sen's slope,50,-8.93007239470001e-5,7.16262043043727e-4,non-significant,true,true
01019000,0.0402266494742386,0.0353042994467283,-0.167346939444542,0.0879278779029846,-205,1225,14291.6669921875,-2.88568042576347e-4,-1.70643098469858,0.0879278657899547,0,two.sided,Sen's slope,50,-6.50663645873567e-4,6.86191705268594e-5,non-significant,false,true
01022500,0.129271214870092,0.208887132113891,0.245714291930199,0.0120916366577148,301,1225,14291.6669921875,6.803685216265e-4,2.50945733043909,0.0120916823161518,0,two.sided,Sen's slope,50,1.86868364215615e-4,0.00120173017967374,significant,true,true
01030500,0.0716800895563832,0.107211194810927,0.208163261413574,0.0336138010025024,255,1225,14291.6669921875,3.03835605525156e-4,2.12467387310509,0.0336138349987997,0,two.sided,Sen's slope,50,2.66196642914286e-5,5.65422636246464e-4,significant,true,true
01031500,0.221377023600546,0.316413437773956,0.18857142329216,0.0543649196624756,231,1225,14291.6669921875,9.33375932014602e-4,1.92391728666997,0.0543649520575087,0,two.sided,Sen's slope,50,-3.23400245689998e-5,0.00197327719498038,non-significant,true,true
01034500,0.072727357878641,0.101170863732643,0.133061230182648,0.175383448600769,163,1225,14291.6669921875,1.7381677394248e-4,1.35510695843711,0.175383482028116,0,two.sided,Sen's slope,50,-8.08376708691501e-5,4.43665417032189e-4,non-significant,true,true
01038000,0.102632986173003,0.15284867327019,-0.0775510221719742,0.431693732738495,-95,1225,14291.6669921875,-2.59998026708256e-4,-0.786296630204247,0.431693726220145,0,two.sided,Sen's slope,50,-8.11869001922999e-4,3.42079702551654e-4,non-significant,false,true
01042500,0.273185779577778,0.127790726090303,-0.647346913814545,3.4732532822046e-11,-793,1225,14291.6669921875,-0.00381342216737441,-6.62496735235919,3.47324934783449e-11,0,two.sided,Sen's slope,50,-0.00460362882828549,-0.00303825635089967,significant,false,true
01046500,0.092527825998162,0.105862332430367,0.180408164858818,0.0657287836074829,221,1225,14291.6669921875,4.661585114105e-4,1.84026870898866,0.0657287969290145,0,two.sided,Sen's slope,50,-5.45996641335001e-5,0.00105686042861219,non-significant,true,true
01047000,0.263296363367868,0.337522899630341,0.22122448682785,0.0239137411117554,271,1225,14291.6669921875,0.00126808103791441,2.25851159739518,0.0239137823614939,0,two.sided,Sen's slope,50,2.5319785211526e-4,0.00229859016294086,significant,true,true
01052500,0.24266513936617,0.396393711999136,0.394285708665848,5.53131103515625e-5,483,1225,14291.6669921875,0.00168331476054735,4.0318614442388,5.53368097169852e-5,0,two.sided,Sen's slope,50,8.79355373752583e-4,0.00248835965622287,significant,true,true
