site_no,tau,estimates,S,sl,p.value
01011000,0.1036735,1.47956249084631e-4,127,0.2918956,0.291895700594215
01013500,0.09877551,6.0570776990617e-5,121,0.31548333,0.315483252916377
01017000,0.1591837,2.67013240586467e-4,195,0.104636,0.104635927875791
01019000,-0.16734694,-2.88568042576347e-4,-205,0.08792788,0.0879278657899547
01022500,0.24571429,6.803685216265e-4,301,0.01209164,0.0120916823161518
01030500,0.2081633,3.03835605525156e-4,255,0.0336138,0.0336138349987997
01031500,0.18857142,9.33375932014602e-4,231,0.05436492,0.0543649520575087
01034500,0.1330612,1.7381677394248e-4,163,0.1753834,0.175383482028116
01038000,-0.07755102,-2.59998026708256e-4,-95,0.43169373,0.431693726220145
01042500,-0.6473469138145447,-0.00381342216737441,-793,3.473253e-11,3.47324934783449e-11
01046500,0.18040816,4.661585114105e-4,221,0.06572878,0.0657287969290145
01047000,0.22122449,0.00126808103791441,271,0.02391374,0.0239137823614939
01052500,0.39428570867,0.00168331476054735,483,5.531311e-5,5.53368097169852e-5
01053500,0.0677551,9.41742723930726e-5,83,0.4927646,0.49276460624325
01054000,0.3485714197,7.25700298702089e-4,427,3.660917e-4,3.66041162108066e-4
01054200,0.21142857,0.00161043351937822,259,0.03091753,0.0309174690613433
01054500,0.18693878,4.8018023103464e-4,229,0.05649626,0.0564963023813092
01055000,0.20326531,0.00135866168057272,249,0.03803432,0.0380343157958867
01057000,0.1297959,7.05620258519071e-4,159,0.1862856,0.186285549238115
01059000,-0.23428571,-3.67050978855311e-4,-287,0.01674091,0.0167409004574302
01064500,0.115102,6.20547460438175e-4,141,0.2415667,0.241566586968973
01066000,0.03673469,5.830293038388e-5,45,0.71283317,0.712833162190734
01073000,0.1477551,8.29839820478514e-4,181,0.1321508,0.132150779291224
01073500,0.07755102,2.04193422204455e-4,95,0.43169379,0.431693726220145
01076500,0.21795918,0.00107528287810107,267,0.02607775,0.0260777363536723
01078000,0.05632653,1.60759270365666e-4,69,0.56948483,0.569484864788368
01081000,-0.02530612,-2.35510578308153e-5,-31,0.80185604,0.801856065566224
01092000,0.05306122,6.62392091990358e-5,65,0.59240723,0.592407237522452
01094500,0.1461225,7.08739120437399e-4,179,0.1365019,0.136501935965376
01096000,-0.01387755,-9.73818771187348e-5,-17,0.89353091,0.893530895868823
01096500,-0.435102045536,-0.00142221065344603,-533,8.582858e-6,8.58285831412593e-6
01097000,0.3469387889,5.52439174107889e-4,425,3.900528e-4,3.90088977962585e-4
01097300,0.3355101943,0.00126726477897933,411,6.045103e-4,6.04490165815662e-4
01099500,0.2408163,2.44538834887829e-4,295,0.0139221,0.0139220575638396
01100000,-0.02204082,-3.89843565749472e-5,-27,0.82782936,0.827829380976393
01100600,0.03020408,9.01879264845011e-5,37,0.76331162,0.763311644610786
01101000,0.39591836929,7.10209997811296e-4,485,5.149841e-5,5.15268643785345e-5
01102000,0.05469388,1.09621296879243e-4,67,0.58089304,0.580893124138696
01102500,-0.0122449,-5.56333279599502e-5,-15,0.9067745,0.90677446334059
01103500,0.02367347,1.83853187543335e-5,29,0.81481719,0.814817280649534
01104200,-0.22122449,-2.84522285919359e-4,-271,0.02391379,0.0239137823614939
01104500,-0.22285715,-2.6096667066694e-4,-273,0.02289145,0.0228914578254205
01105000,0.1216327,2.23739298471639e-4,149,0.2157165,0.215716450276169
01105500,0.28326529,6.68374420469143e-4,347,0.00380075,0.00380076577941567
01105600,0.25224489,0.00184650818782208,309,0.009984136,0.00998419538549779
01105730,-0.004081632,-6.27277650752523e-6,-5,0.973308206,0.973308217017883
01109000,0.1085714,2.25662182036e-4,133,0.2695231,0.269523206273611
01109060,0.1216327,2.3590153234976e-4,149,0.2157165,0.215716450276169
01110000,0.307755113,8.42905865867471e-4,377,0.0016597510000000001,0.0016598097013283
01111500,0.03183673,1.3745465147141e-4,39,0.7505877,0.75058764974237
01112500,0.02040816,5.5559107568117e-5,25,0.84088898,0.840888910748716
01114500,0.1134694,2.8186523222475e-4,139,0.2483566,0.248356552804379
01116000,-0.340408176,-0.0018328272934338,-417,5.01824e-4,5.0182412250329e-4
01117000,0.115102,2.85398892896594e-4,141,0.2415667,0.241566586968973
01117500,0.443265318871,5.27934662099489e-4,543,5.841255e-6,5.79448097833488e-6
01118000,0.1118367,2.66560864193433e-4,137,0.2552788,0.255278917379629
01118300,0.03673469,1.71698501146668e-4,45,0.71283317,0.712833162190734
01118500,0.3289795816,5.19543587358922e-4,403,7.718801e-4,7.71917913016484e-4
01119500,-0.1379592,-4.42638565860499e-4,-169,0.1599333,0.159933246094459
01121000,-0.1444898,-6.5002347546525e-4,-177,0.1409628,0.140962836913241
01122500,-0.07755102,-1.63696646489997e-4,-95,0.43169373,0.431693726220145
01123000,0.04979592,2.43574078790213e-4,61,0.61574388,0.615743868576716
01129200,0.2489796,4.62000184571036e-4,305,0.01099312,0.0109931414063229
01134500,0.309387743,0.00128013771168933,379,0.001567364,0.00156734642073783
01135500,0.1363265,4.20865241903735e-4,167,0.1649647,0.164964643698312
01137500,0.1330612,8.11085211501636e-4,163,0.1753834,0.175383482028116
01139000,0.281632662,9.4009565108029e-4,345,0.004008293,0.00400825843713099
01139800,0.115102,3.97988560979394e-4,141,0.2415667,0.241566586968973
01144000,0.1281633,5.78241253618235e-4,157,0.1919209,0.191920835377182
01151500,0.16734694,8.92266057619188e-4,205,0.08792782,0.0879278657899547
01152500,0.06122449,1.52523822026585e-4,75,0.53591669,0.5359167048477
01154500,-0.08081633,-1.51953293424692e-4,-99,0.41235518,0.412355183890253
01161000,0.09714286,2.06052235695346e-4,119,0.3236165,0.323616550765968
01162000,-0.03183673,-6.45932541393636e-5,-39,0.75058764,0.75058764974237
01162500,-0.007346939,-3.94391135392611e-5,-9,0.946646273,0.94664629687619
01163200,0.09387755,2.00959977641364e-4,115,0.34028935,0.340289302637846
01166500,-0.04489796,-8.00524711940337e-5,-55,0.65148342,0.651483447052109
01169000,-0.1428571,-9.74902495320456e-4,-175,0.145535,0.145534970276369
01169900,-0.06612245,-4.36892113766424e-4,-81,0.50337517,0.503375163703577
01170100,-0.0644898,-4.00133046289479e-4,-79,0.5141052,0.514105174538706
01170500,0.08244898,1.29330121780689e-4,101,0.40288162,0.402881674992069
01171500,0.1183673,7.21605269187113e-4,145,0.228381,0.228381117309063
01173500,-0.25387755,-7.28951218388081e-4,-311,0.009511351,0.00951134759684831
01174500,-0.16244897,-6.82352165371708e-4,-199,0.09767286,0.0976728536695284
01177000,-0.23918368,-5.29121657353e-4,-293,0.01458437,0.0145843752103146
